GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1040.58,2506.69,3120.72,295.89,153.83,-107.26,-2296.99,-18499.96,964.25,11359.69,-4021.22,121.61,-1462.57,-3899.61,-5362.17
3,1078.52,2517.96,3122.46,303.45,166.55,-86.55,-2268.13,-18311.78,974.47,11372.03,-4161.51,126.47,-1131.01,-4035.04,-5166.05
5,1096.16,2466.6,3093.11,303.79,144.26,-93.16,-2246.12,-18470.98,957.95,11305.54,-3986.28,125.85,-1442.86,-3860.42,-5303.28
7,1122.91,2514.97,3164.64,311.45,160.28,-134.25,-2247.62,-18485.75,948.02,11324.86,-3978.86,127.27,-1320.5,-3851.58,-5172.09
9,1124.04,2429.94,3139.24,301.16,167.98,-143.36,-2262.48,-18326.26,973.93,11330.31,-4099.35,128.25,-1265.48,-3971.1,-5236.59
11,1083.58,2532.49,3107.04,297.37,146.67,-124.72,-2215.92,-18456.73,947.99,11266.07,-3936.79,127.69,-1416.16,-3809.1,-5225.26
13,1079.68,2521.06,3121.77,305.55,172.75,-113.25,-2257.92,-18477.73,966.33,11355.9,-4008.76,126.58,-1325.86,-3882.18,-5208.04
15,1103.22,2477.92,3076.52,293.15,147.3,-101.01,-2224.14,-18529.93,945.07,11277.4,-3892.32,125.91,-1534.48,-3766.41,-5300.89
17,1154.32,2550.63,3128.14,313.53,162.99,-119.27,-2240.69,-18264.47,950.22,11247.65,-4123.25,128.09,-1116.95,-3995.16,-5112.11
19,1126.83,2515.16,3128.19,293.11,155.36,-114.12,-2252.7,-18450.01,928.78,11315.53,-4031.82,127.74,-1353.88,-3904.08,-5257.96
21,1125.0,2515.35,3106.38,317.29,159.33,-96.61,-2247.54,-18355.03,964.16,11249.4,-4020.17,124.19,-1262.28,-3895.98,-5158.26
23,1132.92,2535.32,3071.18,312.76,154.67,-104.27,-2265.87,-18418.28,949.66,11239.5,-3995.8,126.51,-1392.4,-3869.3,-5261.69
25,1061.97,2475.36,3127.69,289.23,160.08,-117.68,-2278.61,-18471.01,984.17,11366.5,-3994.41,127.0,-1402.3,-3867.41,-5269.71
27,1119.61,2441.6,3109.31,294.21,160.09,-107.22,-2255.2,-18338.98,975.13,11357.21,-4158.4,129.55,-1244.24,-4028.85,-5273.09
29,1091.91,2508.01,3120.4,303.1,157.55,-94.18,-2278.89,-18319.48,961.95,11348.2,-4146.47,124.18,-1201.44,-4022.28,-5223.73
31,1056.78,2526.34,3074.54,309.73,150.31,-116.13,-2228.88,-18280.02,959.33,11222.94,-4079.91,130.26,-1325.06,-3949.66,-5274.72
33,1116.25,2558.43,3136.53,325.06,178.48,-97.92,-2267.61,-18271.49,977.58,11301.25,-4103.66,126.26,-1043.43,-3977.41,-5020.84
35,1102.16,2545.63,3095.76,308.32,144.18,-113.48,-2275.07,-18214.87,953.68,11277.46,-4158.69,128.21,-1176.21,-4030.48,-5206.69
37,1095.4,2473.07,3119.33,305.73,148.23,-121.4,-2239.06,-18166.54,960.75,11318.92,-4263.15,127.9,-1105.57,-4135.25,-5240.82
39,1089.4,2533.39,3084.04,291.72,166.73,-94.92,-2259.09,-18263.67,950.72,11292.82,-4170.39,127.29,-1208.85,-4043.1,-5251.95
41,1069.56,2454.09,3094.59,296.35,174.95,-112.91,-2270.5,-18305.65,974.15,11393.04,-4163.79,129.63,-1232.32,-4034.16,-5266.48
43,1078.49,2496.21,3102.41,311.94,156.53,-117.98,-2238.23,-18300.23,968.73,11357.03,-4148.23,131.99,-1185.09,-4016.25,-5201.34
45,1080.92,2478.82,3077.21,296.93,151.97,-90.97,-2245.49,-18195.65,960.9,11319.57,-4205.68,128.76,-1165.79,-4076.91,-5242.7
