GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1049.02,2480.27,3097.57,312.45,180.79,-92.43,-2287.21,-18538.65,957.13,11397.79,-3942.18,124.59,-1443.27,-3817.59,-5260.86
3,1071.03,2444.23,3092.98,299.5,150.36,-117.47,-2243.15,-18599.1,951.56,11233.11,-3800.92,125.18,-1716.96,-3675.74,-5392.69
5,1097.59,2430.66,3059.19,294.21,144.32,-88.64,-2239.25,-18388.24,942.91,11266.86,-3992.21,125.97,-1480.39,-3866.23,-5346.62
7,1084.22,2505.84,3067.36,308.47,160.93,-105.0,-2236.73,-18379.74,958.53,11254.57,-3999.72,127.21,-1381.55,-3872.51,-5254.05
9,1080.78,2440.03,3105.01,286.46,147.13,-122.72,-2237.98,-18434.22,951.97,11285.52,-3963.3,127.23,-1498.01,-3836.06,-5334.07
11,1098.86,2566.2,3098.35,300.52,163.16,-128.05,-2209.71,-18388.84,941.73,11225.13,-4006.3,131.4,-1332.66,-3874.9,-5207.56
13,1085.59,2490.49,3020.16,310.7,173.25,-102.13,-2184.22,-18432.14,967.88,11247.93,-3977.53,127.42,-1422.49,-3850.11,-5272.59
15,1070.61,2481.83,3102.21,288.89,143.75,-121.03,-2195.52,-18626.36,959.25,11248.8,-3813.95,125.91,-1647.56,-3688.04,-5335.6
17,1090.91,2527.4,3076.56,296.79,153.43,-98.81,-2247.33,-18462.89,953.58,11191.54,-3868.1,127.17,-1518.82,-3740.93,-5259.75
19,1070.37,2462.99,3034.35,300.85,160.93,-123.68,-2234.34,-18387.46,939.57,11221.51,-3970.77,128.03,-1554.93,-3842.74,-5397.67
21,1018.13,2446.56,3076.29,294.79,165.48,-95.06,-2227.99,-18545.03,988.65,11220.92,-3798.08,126.97,-1657.26,-3671.11,-5328.37
23,1106.75,2481.42,3073.12,309.59,164.87,-107.93,-2227.89,-18523.01,944.64,11175.11,-3812.62,127.13,-1603.34,-3685.49,-5288.83
25,1061.79,2422.81,3044.97,287.89,167.07,-129.38,-2174.47,-18740.42,968.76,11243.9,-3677.1,128.72,-1847.09,-3548.38,-5395.47
27,1068.24,2511.45,3044.72,299.67,158.56,-118.47,-2243.83,-18600.77,965.53,11243.65,-3788.55,127.02,-1671.26,-3661.53,-5332.78
29,1112.42,2424.58,3036.43,295.07,151.57,-107.08,-2197.86,-18712.94,955.98,11200.57,-3710.69,122.69,-1841.24,-3588.0,-5429.24
31,1097.49,2485.37,3054.21,294.59,169.74,-100.03,-2243.15,-18625.97,943.16,11196.48,-3749.65,124.04,-1728.11,-3625.61,-5353.72
33,1145.99,2458.48,3040.12,309.03,166.87,-100.72,-2217.48,-18592.75,959.62,11134.64,-3745.31,125.97,-1696.19,-3619.35,-5315.54
35,1058.36,2487.93,3036.63,304.27,164.2,-120.95,-2207.16,-18553.0,962.29,11225.57,-3857.63,127.65,-1641.86,-3729.98,-5371.84
37,1092.6,2485.01,3063.81,290.69,161.01,-118.33,-2209.04,-18587.09,959.37,11193.11,-3777.33,124.93,-1668.86,-3652.4,-5321.26
39,1101.34,2549.51,3026.89,304.61,167.63,-107.98,-2230.09,-18560.71,946.17,11260.22,-3816.65,124.95,-1542.41,-3691.7,-5234.11
41,1062.17,2456.87,3037.05,295.92,160.34,-139.46,-2210.14,-18434.68,957.38,11253.04,-3912.34,126.85,-1561.51,-3785.49,-5347.0
43,1118.07,2451.15,3072.58,295.43,150.76,-114.4,-2230.19,-18482.63,952.9,11203.16,-3844.95,125.09,-1583.17,-3719.86,-5303.03
