GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1062.61,2527.23,3103.98,286.41,175.21,-93.96,-2303.63,-18294.77,930.69,11090.06,-3933.56,121.27,-1516.17,-3812.29,-5328.46
3,1049.82,2470.5,3106.61,298.86,172.3,-110.16,-2291.22,-18253.49,959.39,11098.58,-3937.42,120.76,-1498.8,-3816.65,-5315.46
5,1079.35,2485.43,3146.82,304.5,175.87,-115.83,-2202.57,-18404.3,955.55,11046.39,-3870.85,123.17,-1528.8,-3747.68,-5276.48
7,1050.9,2511.43,3114.68,299.68,154.04,-94.72,-2237.36,-18195.21,934.95,11117.47,-4011.78,126.07,-1344.14,-3885.71,-5229.85
9,1049.3,2509.96,3115.43,295.59,172.91,-105.02,-2201.67,-18210.96,935.71,11089.61,-4019.78,126.53,-1349.14,-3893.25,-5242.4
11,1055.06,2546.25,3092.71,305.43,149.16,-109.86,-2247.91,-18130.27,932.37,11056.82,-4059.32,126.84,-1350.22,-3932.47,-5282.69
13,1049.91,2505.52,3063.73,316.33,147.07,-108.89,-2240.06,-18201.92,974.28,11052.28,-3993.07,125.27,-1441.73,-3867.8,-5309.53
15,1088.25,2464.2,3104.33,314.33,156.21,-104.0,-2234.01,-18284.55,943.88,11084.03,-3947.13,123.13,-1467.33,-3823.99,-5291.33
17,1030.8,2469.97,3058.97,304.73,143.16,-117.84,-2256.9,-18141.93,938.88,11076.54,-4034.98,126.55,-1493.63,-3908.43,-5402.06
19,1040.29,2486.89,3110.58,301.37,173.45,-125.5,-2236.69,-18238.63,939.93,11084.96,-3983.65,125.94,-1463.35,-3857.7,-5321.05
21,1038.92,2504.32,3087.61,299.08,158.55,-121.33,-2185.49,-18335.97,949.41,11124.05,-3978.91,122.8,-1480.87,-3856.12,-5336.98
23,1075.73,2461.53,3128.73,299.06,162.22,-117.93,-2218.15,-18251.89,942.49,11063.84,-3943.73,121.67,-1454.38,-3822.06,-5276.43
25,1074.2,2544.0,3086.55,296.82,156.73,-118.19,-2221.06,-18202.57,947.87,11117.52,-4065.08,123.38,-1318.13,-3941.71,-5259.83
27,1067.32,2459.77,3099.4,303.46,157.58,-105.75,-2253.35,-18449.94,953.72,11187.82,-3893.59,123.86,-1579.96,-3769.73,-5349.7
29,1050.26,2560.39,3107.89,307.0,166.74,-118.63,-2222.24,-18351.73,951.73,11011.14,-3869.63,125.7,-1537.44,-3743.93,-5281.37
31,1057.78,2513.33,3117.24,304.15,151.14,-106.86,-2242.02,-18284.17,942.75,11067.64,-3945.36,125.6,-1479.01,-3819.76,-5298.77
