GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1126.06,2513.81,3107.03,319.31,160.93,-98.34,-2246.47,-18173.22,913.27,10944.53,-4035.36,124.04,-1433.09,-3911.32,-5344.41
3,1048.81,2524.5,3099.38,303.6,153.26,-110.87,-2248.66,-18172.83,946.34,10935.96,-3985.23,123.81,-1520.51,-3861.42,-5381.93
5,1042.78,2537.34,3051.79,301.04,154.23,-103.59,-2211.74,-18123.68,940.46,10949.22,-4045.81,127.01,-1462.16,-3918.8,-5380.95
7,1056.13,2513.64,3094.15,296.94,163.44,-100.26,-2219.05,-18296.26,938.82,10932.53,-3925.6,125.15,-1619.9,-3800.45,-5420.35
9,1051.9,2541.15,3086.1,300.02,145.72,-114.58,-2224.96,-18116.85,922.23,10940.08,-4052.14,127.59,-1469.19,-3924.55,-5393.74
11,1061.14,2507.19,3097.95,323.05,156.9,-110.85,-2282.15,-18187.62,947.66,10943.9,-3975.72,125.76,-1542.84,-3849.96,-5392.8
13,1049.47,2422.95,3096.73,300.38,179.82,-88.81,-2220.31,-18094.45,955.42,10998.58,-4115.68,127.72,-1400.21,-3987.95,-5388.16
15,1036.21,2486.32,3091.33,300.43,149.99,-84.51,-2261.56,-18246.72,912.82,11013.12,-3937.24,125.24,-1602.57,-3812.0,-5414.56
17,1043.08,2485.46,3058.62,295.9,164.81,-126.57,-2252.36,-18087.96,952.24,10994.92,-4082.08,129.57,-1471.86,-3952.51,-5424.37
19,1075.9,2511.02,3091.25,312.12,165.44,-115.08,-2204.11,-18141.66,958.37,10904.09,-3983.15,130.73,-1442.66,-3852.42,-5295.08
21,1083.91,2509.19,3121.75,312.38,159.48,-102.52,-2194.86,-18142.18,919.64,10956.15,-4043.98,132.31,-1377.05,-3911.67,-5288.72
23,1039.43,2420.21,3064.98,301.21,157.61,-123.72,-2217.22,-18191.15,947.66,10985.72,-4003.74,133.31,-1615.28,-3870.43,-5485.71
25,1055.57,2512.51,3134.0,305.9,146.82,-120.94,-2262.6,-18312.52,938.81,10988.85,-3888.36,126.89,-1613.61,-3761.47,-5375.08
27,1089.17,2530.38,3089.48,307.77,161.07,-123.63,-2233.68,-18244.56,926.31,10938.83,-3925.11,132.12,-1558.87,-3792.99,-5351.86
29,1047.38,2524.33,3049.66,302.45,157.14,-113.88,-2242.62,-18302.7,939.55,10962.01,-3879.49,125.29,-1676.67,-3754.2,-5430.87
31,1064.52,2468.74,3074.04,308.95,166.27,-107.57,-2219.23,-18219.38,918.14,10958.86,-3958.34,130.94,-1586.65,-3827.4,-5414.05
33,1099.91,2464.09,3112.32,307.79,155.9,-128.74,-2233.16,-18454.69,945.64,11062.16,-3802.11,127.41,-1668.78,-3674.7,-5343.49
35,1056.99,2492.54,3059.44,291.63,148.98,-117.64,-2261.71,-18287.25,936.32,10939.77,-3863.28,127.44,-1740.92,-3735.84,-5476.75
37,1031.52,2478.61,3099.95,288.7,150.0,-106.92,-2221.97,-18535.36,944.84,11010.95,-3716.08,127.01,-1859.68,-3589.07,-5448.75
39,1038.22,2599.74,3075.28,316.71,159.86,-135.75,-2204.63,-18449.14,926.07,10974.53,-3766.48,128.34,-1699.09,-3638.14,-5337.22
41,1044.14,2497.89,3094.62,301.58,149.6,-120.27,-2239.4,-18359.68,952.33,10962.24,-3798.0,127.35,-1716.96,-3670.65,-5387.61
43,1006.02,2551.25,3082.04,298.99,158.22,-134.94,-2196.43,-18453.6,942.85,10982.17,-3768.66,129.05,-1763.44,-3639.61,-5403.06
45,1027.74,2559.82,3102.16,296.26,157.21,-111.82,-2238.19,-18216.06,932.47,10943.65,-3953.59,130.38,-1546.76,-3823.2,-5369.96
47,1088.6,2495.85,3077.19,293.92,154.47,-119.97,-2205.72,-18158.44,925.37,10947.96,-4006.15,126.71,-1500.76,-3879.44,-5380.2
49,1018.88,2541.15,3081.82,315.37,156.56,-132.18,-2221.26,-18286.04,907.97,10938.6,-3876.44,128.21,-1679.14,-3748.23,-5427.37
