GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1013.61,2486.87,3106.12,300.34,158.78,-98.95,-2272.22,-18111.53,914.6,11082.8,-4105.23,122.5,-1419.58,-3982.72,-5402.31
3,1080.55,2512.93,3070.4,305.9,147.89,-98.13,-2236.64,-18232.8,906.15,10948.81,-3897.9,124.99,-1594.93,-3772.91,-5367.85
5,1026.51,2532.45,3065.65,293.79,141.62,-103.46,-2242.1,-18084.26,916.4,10975.4,-4065.41,128.22,-1478.0,-3937.19,-5415.2
7,1045.99,2519.24,3057.22,294.6,159.71,-119.12,-2210.88,-17967.77,923.3,10877.62,-4104.34,127.45,-1420.08,-3976.9,-5396.97
9,1108.91,2518.37,3058.08,301.94,154.49,-106.32,-2221.35,-17853.05,921.46,10856.19,-4170.01,129.88,-1261.28,-4040.14,-5301.41
11,1059.99,2376.65,3048.26,302.28,150.1,-103.74,-2185.4,-18073.57,944.21,11033.44,-4137.75,128.52,-1447.78,-4009.23,-5457.0
13,1085.42,2473.13,3075.84,312.61,162.78,-110.0,-2192.81,-18211.62,926.63,10994.1,-3992.78,126.84,-1483.92,-3865.94,-5349.85
15,1101.64,2554.96,3068.53,306.97,150.16,-116.45,-2216.92,-18044.38,885.03,11003.72,-4112.3,129.69,-1306.74,-3982.61,-5289.35
17,1073.92,2387.88,3013.9,301.59,149.4,-108.77,-2199.53,-17937.31,944.09,11058.56,-4255.61,131.38,-1316.28,-4124.24,-5440.51
19,1021.37,2469.38,3070.18,304.81,156.58,-116.98,-2202.04,-17977.66,925.8,11036.05,-4252.13,131.66,-1312.53,-4120.47,-5432.99
21,1109.18,2488.22,3051.89,314.92,155.86,-95.18,-2213.9,-18121.71,910.88,11082.71,-4108.47,127.08,-1317.13,-3981.4,-5298.53
23,1096.73,2481.57,3057.25,311.22,146.79,-84.99,-2221.61,-18136.1,928.46,11042.97,-4045.01,129.36,-1377.72,-3915.66,-5293.37
25,1065.04,2469.73,3024.74,291.93,149.22,-84.21,-2213.96,-18035.88,900.11,11049.43,-4145.57,131.15,-1383.85,-4014.42,-5398.27
27,1136.41,2507.93,3040.1,305.79,171.44,-109.98,-2239.08,-18237.83,926.04,10965.07,-3920.33,126.93,-1534.12,-3793.39,-5327.51
29,1088.95,2538.89,3038.32,311.1,178.88,-98.41,-2217.62,-18193.62,897.13,10964.72,-4004.9,130.28,-1491.66,-3874.62,-5366.28
31,1052.56,2464.62,3026.91,294.33,165.79,-121.61,-2240.66,-18149.24,921.46,11010.79,-4029.7,126.48,-1575.05,-3903.22,-5478.27
33,1055.55,2468.3,3079.36,300.07,163.92,-110.32,-2266.07,-18242.01,948.27,11096.06,-3986.37,126.66,-1506.88,-3859.72,-5366.6
35,1050.25,2447.56,3058.31,301.11,166.19,-114.46,-2240.04,-18194.07,951.87,11048.01,-3974.31,125.11,-1525.26,-3849.2,-5374.46
37,1091.49,2450.95,3046.5,308.41,152.77,-79.6,-2216.95,-18194.76,924.1,10989.02,-4000.08,128.76,-1528.06,-3871.32,-5399.38
39,1130.98,2538.75,3039.77,304.19,173.57,-102.89,-2199.71,-18338.86,903.82,10939.2,-3834.08,127.46,-1611.18,-3706.63,-5317.8
41,1104.09,2526.04,3046.97,308.73,154.75,-140.36,-2201.04,-18249.61,906.13,11021.21,-3963.3,131.88,-1523.1,-3831.42,-5354.52
43,1065.56,2472.1,3050.19,297.65,165.92,-86.45,-2204.28,-18382.36,918.96,11079.33,-3863.9,128.75,-1623.38,-3735.15,-5358.53
45,1062.48,2544.59,3032.54,298.05,160.98,-92.04,-2220.38,-18222.6,943.04,11039.32,-3957.56,127.84,-1454.01,-3829.71,-5283.72
47,1055.9,2558.13,3016.86,318.44,166.73,-113.15,-2188.63,-18257.18,918.37,10955.16,-3926.46,129.89,-1569.37,-3796.58,-5365.94
49,1085.15,2462.64,3044.6,304.19,160.5,-108.44,-2261.87,-18252.0,930.1,11040.55,-3950.42,125.83,-1594.59,-3824.58,-5419.18
51,1073.31,2464.24,3033.05,303.95,163.86,-105.68,-2248.25,-18270.45,924.45,10978.42,-3909.83,126.22,-1683.09,-3783.61,-5466.71
53,1070.57,2471.08,3017.99,302.31,164.66,-115.01,-2197.31,-18163.48,927.41,11045.9,-4013.89,130.07,-1475.87,-3883.81,-5359.69
55,1107.86,2461.18,3058.84,299.84,159.06,-109.95,-2178.17,-18148.27,950.21,10969.75,-3996.2,130.35,-1429.64,-3865.84,-5295.49
57,1034.78,2418.18,3041.48,292.8,145.5,-102.44,-2241.2,-18163.03,934.61,11044.58,-4043.79,126.82,-1594.73,-3916.98,-5511.71
59,1090.3,2504.77,3032.65,301.0,160.7,-110.04,-2234.18,-18113.12,919.0,10969.71,-4023.06,128.48,-1479.2,-3894.58,-5373.78
61,1098.31,2543.98,3034.3,297.83,151.02,-111.52,-2224.15,-18145.94,901.0,11038.03,-4037.18,130.27,-1417.15,-3906.92,-5324.06
63,1065.25,2460.43,3056.55,305.07,148.94,-108.31,-2200.75,-18264.06,912.37,11123.46,-4038.27,130.48,-1501.05,-3907.79,-5408.84
65,1105.67,2495.68,3041.46,301.63,151.41,-128.84,-2228.7,-18163.62,892.98,10990.83,-3973.39,127.37,-1541.49,-3846.02,-5387.5
67,1114.98,2547.08,3023.4,307.38,166.02,-88.46,-2213.72,-18289.93,912.14,11066.95,-3936.24,126.64,-1454.14,-3809.61,-5263.75
69,1082.0,2554.41,3028.12,303.51,178.1,-118.25,-2205.74,-18447.2,928.44,11056.76,-3817.71,127.89,-1639.86,-3689.81,-5329.68
71,1098.37,2497.33,3018.85,303.36,156.39,-111.58,-2245.06,-18229.12,902.61,10994.08,-3955.82,127.67,-1614.77,-3828.15,-5442.92
73,1035.41,2375.87,2994.28,293.61,160.43,-109.19,-2209.12,-18437.95,923.22,11177.3,-3891.43,127.15,-1796.14,-3764.28,-5560.43
75,1086.34,2507.43,3031.16,310.45,142.29,-114.66,-2219.94,-18325.42,926.1,10992.34,-3890.12,125.44,-1663.9,-3764.68,-5428.58
77,1105.75,2471.49,3020.34,308.19,173.54,-113.85,-2236.44,-18286.2,921.53,11002.25,-3877.55,129.63,-1633.41,-3747.92,-5381.33
79,1107.91,2412.59,3027.08,302.14,154.69,-124.7,-2200.84,-18569.77,914.61,11107.24,-3729.46,127.02,-1869.07,-3602.44,-5471.51
81,1056.32,2487.64,3034.07,296.8,174.51,-126.67,-2204.68,-18560.91,913.36,11020.72,-3707.78,126.32,-1908.83,-3581.46,-5490.29
83,1026.67,2523.27,3038.52,302.1,164.23,-126.24,-2211.8,-18497.76,918.9,10989.95,-3703.66,125.72,-1872.15,-3577.95,-5450.09
85,1082.61,2492.39,3031.61,303.05,157.49,-113.66,-2262.75,-18366.21,926.81,11057.11,-3829.87,127.61,-1691.54,-3702.25,-5393.79
87,1105.77,2590.6,3060.56,301.98,156.41,-130.94,-2237.67,-18332.31,916.43,10941.88,-3801.69,128.33,-1627.3,-3673.36,-5300.65
89,1081.53,2486.74,3037.36,308.34,156.98,-107.21,-2214.55,-18370.61,910.91,10966.94,-3779.51,125.19,-1743.57,-3654.31,-5397.88
91,1066.35,2475.01,3024.86,301.77,169.05,-101.58,-2169.86,-18284.42,938.0,11007.72,-3950.46,128.52,-1573.11,-3821.94,-5395.05
93,1029.15,2465.56,3019.22,289.49,160.31,-104.47,-2202.61,-18281.38,920.24,11015.96,-3919.3,129.5,-1688.54,-3789.81,-5478.34
95,1096.01,2476.24,3020.83,302.71,152.67,-119.98,-2188.68,-18384.83,916.6,10987.13,-3820.51,126.53,-1741.3,-3693.98,-5435.28
97,1070.62,2500.92,3057.85,301.16,178.98,-123.21,-2203.4,-18327.87,924.75,11040.71,-3875.82,129.17,-1579.5,-3746.65,-5326.16
99,1070.41,2488.42,3051.3,295.37,149.46,-98.98,-2237.65,-18296.84,933.48,11035.1,-3921.77,126.14,-1609.91,-3795.63,-5405.54
101,1063.52,2471.84,3016.02,315.63,160.98,-113.72,-2222.77,-18445.96,911.02,11036.15,-3764.45,126.45,-1807.29,-3638.0,-5445.29
103,1100.25,2491.14,3028.25,315.89,150.01,-105.42,-2168.17,-18455.82,914.19,11005.73,-3760.95,130.27,-1723.94,-3630.68,-5354.62
105,1081.1,2457.39,3036.2,293.59,150.91,-136.12,-2231.71,-18384.18,905.75,10951.63,-3793.54,126.55,-1875.43,-3666.99,-5542.42
107,1072.57,2509.43,3018.94,313.18,155.87,-111.73,-2208.27,-18224.93,918.02,10993.18,-3961.19,128.88,-1563.73,-3832.31,-5396.04
109,1083.69,2459.91,3054.5,303.95,156.44,-121.17,-2202.88,-18135.19,906.58,10895.72,-3993.84,127.55,-1598.44,-3866.3,-5464.74
111,1065.78,2503.67,3042.47,303.4,149.44,-104.31,-2173.45,-18434.27,904.73,11101.94,-3820.89,129.03,-1640.61,-3691.86,-5332.47
113,1093.34,2496.3,3061.38,312.39,157.71,-127.2,-2162.46,-18493.75,937.32,11008.17,-3734.52,127.58,-1716.8,-3606.93,-5323.73
115,1074.88,2436.73,3040.72,292.48,158.35,-107.02,-2235.62,-18291.76,922.39,11045.62,-3899.59,127.1,-1663.22,-3772.49,-5435.71
117,1042.78,2417.1,3012.16,305.06,147.3,-103.28,-2180.11,-18345.36,931.68,10979.21,-3864.43,127.62,-1793.47,-3736.81,-5530.28
119,1085.0,2483.04,3052.77,298.03,172.72,-98.62,-2192.6,-18440.5,916.89,11052.51,-3851.96,129.11,-1670.75,-3722.85,-5393.6
121,1002.54,2570.14,3044.23,302.99,156.08,-113.81,-2202.58,-18266.67,944.55,10978.2,-3883.75,126.76,-1584.35,-3757.0,-5341.35
123,1070.47,2492.07,3037.21,285.78,146.51,-106.97,-2220.85,-18285.15,909.27,10912.72,-3854.25,125.67,-1758.95,-3728.58,-5487.53
125,1016.34,2525.56,3048.26,303.03,146.64,-107.09,-2238.86,-18204.51,922.42,10932.05,-3877.67,126.4,-1656.16,-3751.28,-5407.44
127,1041.07,2514.1,3030.87,307.28,167.16,-109.08,-2207.59,-18412.0,907.65,11020.97,-3842.76,127.82,-1739.55,-3714.93,-5454.49
129,1092.81,2439.84,3019.88,302.92,148.91,-110.95,-2255.18,-18176.67,905.56,10943.93,-3964.11,126.52,-1688.95,-3837.59,-5526.54
131,1092.78,2480.25,3020.72,285.51,157.36,-121.89,-2170.92,-18242.93,919.53,10958.8,-3962.35,128.74,-1620.82,-3833.61,-5454.43
133,1149.59,2480.29,3025.45,296.24,155.72,-124.34,-2181.79,-18401.84,894.14,10987.74,-3827.57,127.81,-1718.8,-3699.76,-5418.56
