GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1059.35,2495.17,3091.95,295.09,155.44,-99.32,-2296.34,-18139.89,952.56,10935.26,-3946.76,123.7,-1550.73,-3823.07,-5373.8
3,1040.11,2521.07,3087.42,295.72,154.43,-119.97,-2227.11,-18150.99,946.44,11005.62,-4004.09,126.82,-1447.25,-3877.27,-5324.52
5,1053.9,2573.2,3099.97,319.29,156.69,-122.06,-2193.76,-17990.91,947.67,10839.72,-4087.3,130.62,-1316.28,-3956.68,-5272.96
7,1065.42,2482.12,3103.94,301.75,158.53,-101.26,-2215.7,-18020.53,967.26,10904.34,-4052.68,127.29,-1354.11,-3925.39,-5279.5
9,1080.11,2531.46,3051.84,322.37,158.27,-101.16,-2276.98,-18023.06,934.02,10875.65,-4006.41,124.16,-1447.47,-3882.25,-5329.72
11,1039.54,2572.33,3077.99,299.52,171.73,-119.17,-2248.67,-18136.98,930.15,10844.48,-3919.6,125.67,-1569.09,-3793.93,-5363.02
13,1027.68,2531.35,3090.55,315.03,171.23,-104.01,-2222.66,-18127.44,953.84,10974.28,-4010.11,127.48,-1390.16,-3882.64,-5272.79
15,1044.07,2560.15,3095.62,307.52,152.26,-131.41,-2215.29,-18043.17,930.25,10931.83,-4040.33,127.78,-1368.17,-3912.55,-5280.71
17,1026.81,2500.14,3085.75,310.16,162.79,-109.97,-2226.07,-18221.38,948.99,11046.32,-3963.52,126.96,-1476.46,-3836.56,-5313.02
19,1045.7,2534.97,3060.85,310.42,163.31,-135.64,-2191.68,-18119.66,957.63,10937.01,-3981.93,129.15,-1437.09,-3852.78,-5289.87
21,1073.09,2591.86,3053.02,315.58,166.96,-103.14,-2177.96,-18152.43,926.36,10861.15,-3963.43,126.72,-1445.52,-3836.71,-5282.24
23,1094.27,2513.17,3092.38,297.92,162.04,-125.41,-2226.85,-18197.41,935.09,10932.09,-3920.96,126.87,-1522.71,-3794.09,-5316.8
25,1039.26,2544.08,3058.94,297.23,171.09,-113.19,-2223.94,-18187.75,948.68,10978.86,-3973.67,127.72,-1486.73,-3845.95,-5332.68
27,1021.19,2524.53,3065.23,310.03,163.06,-125.09,-2209.96,-18155.17,929.92,10951.33,-3947.55,129.1,-1524.93,-3818.44,-5343.37
