GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1033.6,2555.84,3189.6,314.26,165.09,-104.11,-2267.18,-18438.23,977.56,11316.5,-3972.54,121.43,-1257.07,-3851.11,-5108.18
3,1101.29,2522.11,3113.45,304.02,141.57,-116.05,-2258.78,-18423.3,914.08,11297.29,-3962.42,124.61,-1404.31,-3837.8,-5242.11
5,1120.63,2523.54,3111.51,301.16,153.76,-102.11,-2260.24,-18330.79,928.15,11255.36,-4046.77,125.86,-1299.03,-3920.91,-5219.94
7,1090.11,2552.75,3108.3,319.83,165.8,-125.2,-2265.99,-18493.27,930.69,11339.74,-3941.92,124.01,-1377.24,-3817.91,-5195.16
9,1116.93,2549.51,3147.11,305.33,152.61,-117.36,-2259.71,-18296.07,971.43,11353.59,-4093.56,127.13,-1076.62,-3966.43,-5043.06
11,1047.26,2565.88,3100.71,301.68,158.93,-124.36,-2278.78,-18309.56,970.13,11310.72,-4001.32,126.44,-1257.38,-3874.88,-5132.26
13,1148.0,2556.12,3105.87,310.67,168.72,-108.36,-2293.62,-18191.59,952.76,11276.93,-4137.57,125.25,-1074.49,-4012.32,-5086.81
15,1037.86,2481.33,3107.62,283.58,154.92,-96.97,-2237.93,-18214.86,951.26,11360.53,-4188.51,129.52,-1172.67,-4058.98,-5231.65
17,1052.63,2515.98,3117.96,300.31,160.75,-132.65,-2262.45,-18112.84,972.91,11288.6,-4210.9,127.47,-1098.8,-4083.44,-5182.24
19,1085.41,2537.07,3098.71,288.94,152.71,-95.85,-2236.68,-18296.98,958.54,11369.92,-4144.17,130.28,-1138.22,-4013.89,-5152.11
21,1071.02,2470.33,3103.61,321.29,158.3,-110.18,-2258.5,-18256.14,985.76,11327.24,-4119.71,129.42,-1187.29,-3990.28,-5177.58
23,1094.3,2506.93,3080.4,308.22,147.7,-107.48,-2243.46,-18108.02,922.93,11261.43,-4228.44,130.36,-1137.06,-4098.08,-5235.14
25,1073.38,2588.81,3096.42,323.14,149.55,-119.01,-2275.07,-18337.48,945.93,11351.18,-4039.6,126.79,-1203.16,-3912.81,-5115.97
27,1053.52,2545.98,3105.37,298.76,164.03,-103.24,-2243.2,-18197.26,956.35,11276.33,-4172.41,129.08,-1143.36,-4043.34,-5186.7
29,1085.39,2511.43,3100.15,302.96,160.66,-101.65,-2237.62,-18112.19,926.89,11316.73,-4287.79,131.77,-1047.24,-4156.02,-5203.26
31,1065.44,2497.84,3113.05,304.66,157.91,-126.76,-2290.6,-17943.95,929.07,11295.02,-4354.72,130.16,-998.31,-4224.56,-5222.87
33,1078.77,2500.11,3090.46,291.35,165.04,-120.49,-2198.43,-18130.61,947.4,11300.22,-4210.5,130.7,-1076.17,-4079.8,-5155.97
35,1103.69,2464.65,3096.6,296.47,170.74,-124.1,-2275.81,-18287.98,928.15,11363.31,-4129.89,128.22,-1264.28,-4001.67,-5265.95
37,1096.0,2483.13,3084.66,304.54,143.49,-120.12,-2206.87,-18451.34,958.01,11365.58,-4034.26,127.68,-1342.91,-3906.58,-5249.49
39,1124.94,2514.29,3124.7,303.06,165.47,-134.65,-2272.77,-18297.58,946.86,11374.74,-4080.22,125.82,-1150.94,-3954.4,-5105.34
41,1084.45,2513.62,3099.6,296.18,160.45,-125.96,-2243.93,-18307.83,957.05,11385.34,-4073.6,126.95,-1181.05,-3946.65,-5127.7
43,1045.77,2492.51,3089.51,296.79,156.94,-122.83,-2280.55,-18408.88,963.35,11410.79,-4006.64,126.58,-1356.6,-3880.05,-5236.65
45,1094.59,2453.32,3100.47,292.46,155.96,-115.16,-2275.0,-18499.67,945.46,11327.74,-3878.97,126.44,-1519.83,-3752.53,-5272.37
47,1154.91,2458.51,3148.79,297.47,177.58,-118.36,-2266.08,-18378.81,941.78,11330.7,-4016.13,127.02,-1253.52,-3889.12,-5142.63
49,1082.89,2537.62,3106.09,311.76,168.9,-115.3,-2260.56,-18246.17,950.48,11307.94,-4108.17,126.53,-1156.35,-3981.64,-5137.99
51,1071.21,2469.4,3127.91,295.26,159.07,-148.59,-2288.12,-18469.73,949.62,11397.16,-3950.87,126.55,-1436.81,-3824.32,-5261.13
53,1103.62,2501.86,3058.76,302.76,155.35,-108.79,-2222.1,-18414.41,971.47,11340.61,-4027.38,130.05,-1310.87,-3897.33,-5208.2
55,1120.32,2584.03,3140.4,298.34,169.39,-143.19,-2250.78,-18176.59,917.14,11305.11,-4159.99,131.42,-1035.81,-4028.57,-5064.38
57,1133.09,2496.48,3108.63,298.93,151.54,-133.83,-2254.15,-18422.4,963.89,11457.8,-4058.63,129.48,-1200.02,-3929.14,-5129.16
59,1113.36,2567.37,3104.75,294.65,164.42,-130.77,-2222.14,-18206.96,944.71,11314.76,-4180.97,130.84,-1055.85,-4050.13,-5105.98
61,1109.63,2500.06,3115.5,302.55,152.0,-118.62,-2221.48,-18340.7,941.91,11393.96,-4071.13,131.79,-1165.17,-3939.34,-5104.52
63,1077.46,2562.53,3127.22,314.3,163.4,-92.51,-2249.41,-18397.92,935.8,11353.54,-4023.53,130.49,-1205.58,-3893.04,-5098.62
65,1139.62,2485.36,3129.82,311.62,145.3,-120.85,-2247.34,-18323.45,938.81,11381.14,-4097.89,130.96,-1159.96,-3966.93,-5126.89
67,1134.99,2508.88,3089.72,308.2,143.18,-135.05,-2240.62,-18322.0,967.1,11312.56,-4068.22,132.06,-1233.04,-3936.16,-5169.2
69,1100.77,2539.66,3135.8,308.03,160.88,-136.54,-2242.66,-18177.07,965.12,11287.72,-4147.54,132.32,-1058.29,-4015.22,-5073.5
71,1070.15,2466.44,3106.97,317.16,172.87,-122.82,-2257.88,-18084.25,985.69,11267.07,-4201.84,131.44,-1078.6,-4070.4,-5149.0
73,1129.25,2478.56,3067.22,310.94,168.83,-128.35,-2253.35,-18191.26,954.78,11315.04,-4142.88,128.18,-1148.34,-4014.69,-5163.04
75,1135.34,2569.72,3104.21,303.17,160.59,-118.6,-2253.59,-18167.7,973.64,11267.97,-4153.38,129.29,-1025.25,-4024.09,-5049.34
77,1082.96,2433.99,3104.47,305.24,156.53,-115.25,-2255.28,-18327.96,971.6,11291.07,-4024.0,129.53,-1352.64,-3894.47,-5247.11
79,1103.46,2506.15,3113.14,303.73,158.55,-125.16,-2270.5,-18208.86,937.99,11226.24,-4090.13,131.04,-1255.27,-3959.09,-5214.36
81,1049.51,2460.68,3068.98,298.67,156.46,-139.83,-2205.51,-18352.39,969.19,11241.3,-3988.52,130.9,-1452.94,-3857.62,-5310.56
83,1058.04,2558.08,3083.43,317.21,147.77,-102.62,-2226.74,-18328.84,967.25,11290.81,-4016.16,129.76,-1235.6,-3886.4,-5122.0
85,1068.41,2546.46,3115.47,295.42,188.4,-115.7,-2224.47,-18346.59,949.5,11262.06,-4007.67,129.59,-1261.03,-3878.08,-5139.12
87,1119.06,2535.27,3084.18,309.21,149.8,-128.33,-2239.15,-18318.08,956.61,11309.6,-4043.63,127.73,-1221.83,-3915.9,-5137.73
89,1106.62,2482.35,3102.12,291.3,151.26,-116.36,-2268.13,-18307.99,957.03,11381.91,-4100.94,129.21,-1219.88,-3971.72,-5191.6
91,1136.71,2502.63,3125.91,302.88,169.74,-106.26,-2274.84,-18195.48,938.36,11261.86,-4135.09,130.33,-1138.49,-4004.76,-5143.25
93,1100.85,2503.31,3106.26,301.3,158.62,-110.78,-2249.45,-18342.09,941.2,11332.98,-4062.84,128.65,-1257.79,-3934.19,-5191.98
95,1140.28,2556.98,3066.1,318.57,172.43,-98.55,-2228.13,-18227.91,935.21,11295.98,-4140.7,127.26,-1069.04,-4013.45,-5082.48
97,1165.69,2499.68,3114.1,301.32,162.29,-122.61,-2265.53,-18376.52,936.83,11259.02,-3973.17,127.51,-1325.73,-3845.66,-5171.4
99,1090.3,2591.45,3077.92,309.18,156.39,-123.15,-2239.47,-18176.52,956.84,11248.84,-4146.42,130.93,-1108.23,-4015.5,-5123.73
101,1157.31,2469.17,3051.04,289.03,153.82,-107.13,-2241.42,-18224.36,933.99,11284.87,-4161.05,130.59,-1233.68,-4030.46,-5264.14
103,1072.29,2512.99,3081.05,296.51,172.52,-122.55,-2254.55,-18218.3,961.63,11337.71,-4143.36,131.2,-1160.71,-4012.16,-5172.87
105,1055.79,2554.38,3092.62,310.15,152.24,-138.76,-2235.59,-18428.0,947.59,11304.06,-3977.56,131.67,-1385.52,-3845.88,-5231.41
107,1114.43,2537.9,3117.53,296.13,166.67,-131.18,-2210.04,-18467.89,953.66,11340.61,-3966.77,129.5,-1282.18,-3837.27,-5119.45
109,1084.08,2617.49,3097.66,301.08,162.21,-107.41,-2258.93,-18236.61,971.0,11234.4,-4074.73,130.48,-1135.03,-3944.24,-5079.27
111,1114.15,2434.37,3100.25,296.46,156.57,-125.57,-2225.86,-18336.06,947.53,11314.51,-4055.31,132.99,-1323.64,-3922.32,-5245.97
