GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1076.93,2466.51,3157.71,299.82,162.22,-96.53,-2257.06,-18775.46,957.88,11235.75,-3776.48,123.03,-1772.23,-3653.46,-5425.68
3,1042.74,2541.37,3168.09,297.46,168.34,-100.28,-2262.39,-18742.7,932.02,11247.09,-3780.03,123.47,-1708.26,-3656.56,-5364.82
5,1059.57,2529.7,3153.17,321.77,144.92,-93.95,-2271.19,-18715.55,957.21,11211.89,-3767.64,122.07,-1702.48,-3645.57,-5348.05
7,1039.33,2499.23,3139.47,309.24,157.07,-107.33,-2222.17,-18705.4,967.53,11156.12,-3709.84,123.74,-1766.93,-3586.1,-5353.03
9,1099.42,2509.28,3115.09,313.27,158.9,-109.0,-2245.91,-18375.5,930.34,11178.77,-4032.26,127.36,-1425.33,-3904.9,-5330.23
11,1090.07,2563.22,3106.51,318.73,165.21,-108.25,-2197.82,-18481.41,941.06,11142.1,-3974.93,129.13,-1460.58,-3845.8,-5306.38
13,1074.06,2552.63,3081.36,313.84,152.55,-105.81,-2218.43,-18620.75,952.4,11271.62,-3877.61,127.68,-1546.54,-3749.92,-5296.46
15,1075.49,2521.05,3064.25,309.35,183.67,-97.55,-2225.4,-18352.17,947.27,11102.61,-4021.11,128.28,-1471.41,-3892.83,-5364.25
17,1053.24,2541.18,3128.88,311.98,154.13,-98.4,-2228.3,-18698.84,944.75,11239.28,-3770.32,126.38,-1652.1,-3643.94,-5296.04
19,1040.58,2626.49,3132.67,323.8,167.5,-110.18,-2246.55,-18402.44,965.65,11162.37,-4005.62,127.67,-1340.1,-3877.96,-5218.06
21,1100.43,2501.52,3106.78,310.06,158.16,-102.85,-2219.8,-18433.32,951.05,11198.53,-4011.51,130.52,-1429.44,-3880.99,-5310.43
23,1065.18,2482.9,3149.81,320.72,168.98,-96.87,-2222.81,-18498.63,945.99,11175.47,-3972.06,128.39,-1509.26,-3843.66,-5352.92
25,1115.53,2506.93,3132.28,320.43,150.18,-132.93,-2246.34,-18480.08,977.21,11170.6,-3944.94,126.74,-1486.19,-3818.2,-5304.39
27,1081.28,2564.46,3121.89,318.46,151.23,-147.73,-2201.83,-18566.54,962.75,11188.11,-3893.16,128.06,-1527.92,-3765.1,-5293.02
29,1093.73,2529.97,3150.81,305.26,149.03,-135.46,-2175.73,-18566.32,973.71,11256.52,-3969.19,133.91,-1418.48,-3835.27,-5253.76
31,1077.64,2591.43,3138.55,312.63,146.33,-130.65,-2264.28,-18454.48,958.75,11176.12,-3953.46,129.49,-1447.97,-3823.97,-5271.94
33,1095.87,2539.98,3113.16,316.12,158.56,-127.91,-2195.92,-18684.76,960.11,11268.08,-3876.23,132.89,-1556.71,-3743.34,-5300.05
35,1058.66,2613.23,3078.14,318.24,162.75,-120.54,-2176.06,-18642.09,978.4,11214.58,-3893.69,131.84,-1514.69,-3761.85,-5276.54
37,1074.17,2452.71,3129.84,302.03,162.08,-129.44,-2213.11,-18613.11,958.66,11286.41,-3907.93,131.43,-1589.76,-3776.49,-5366.26
39,1048.12,2530.61,3142.23,300.45,162.38,-141.42,-2207.04,-18618.87,942.55,11257.31,-3939.72,131.83,-1583.68,-3807.89,-5391.57
41,1049.15,2533.9,3135.19,324.43,169.57,-108.96,-2197.8,-18578.96,956.23,11246.94,-3967.27,131.22,-1470.31,-3836.05,-5306.36
43,1053.93,2577.86,3092.92,303.74,154.02,-114.99,-2204.01,-18746.01,940.5,11190.27,-3720.41,130.45,-1751.76,-3589.96,-5341.72
45,1093.11,2485.49,3116.62,323.78,155.26,-136.81,-2161.85,-18922.94,957.5,11341.77,-3724.78,130.94,-1748.09,-3593.84,-5341.92
47,986.96,2583.47,3110.01,311.65,146.32,-140.43,-2170.85,-18634.67,962.59,11211.31,-3871.81,132.9,-1633.66,-3738.9,-5372.56
49,1113.82,2509.65,3078.81,318.92,160.46,-112.74,-2195.59,-18849.58,948.92,11340.81,-3759.49,131.46,-1686.53,-3628.04,-5314.57
51,1006.27,2541.78,3088.96,318.98,167.32,-115.58,-2198.4,-18735.18,973.33,11249.38,-3805.45,129.86,-1703.15,-3675.59,-5378.73
53,1060.09,2573.02,3088.63,312.91,152.91,-103.78,-2192.49,-18646.95,937.12,11196.94,-3872.29,129.63,-1621.6,-3742.66,-5364.26
55,1023.59,2559.63,3141.92,307.83,155.9,-127.9,-2210.31,-18535.04,947.71,11216.58,-3961.34,133.84,-1520.08,-3827.5,-5347.58
57,1112.6,2508.66,3090.56,316.26,164.3,-93.08,-2258.3,-18473.29,929.53,11169.53,-3981.83,131.22,-1533.24,-3850.6,-5383.85
59,1071.41,2546.6,3090.06,307.39,149.07,-110.79,-2186.64,-18589.52,958.72,11227.9,-3904.5,132.42,-1535.79,-3772.08,-5307.87
61,1049.82,2602.29,3087.9,318.12,150.01,-125.95,-2208.63,-18592.49,973.4,11223.42,-3947.91,131.71,-1522.11,-3816.19,-5338.31
63,1054.74,2623.76,3093.38,326.79,154.23,-116.04,-2213.36,-18546.23,964.23,11179.96,-3921.54,132.72,-1478.54,-3788.81,-5267.36
65,1056.4,2543.73,3106.35,307.32,157.36,-102.7,-2212.38,-18505.62,948.91,11168.36,-3959.04,130.81,-1532.27,-3828.23,-5360.5
67,1053.82,2537.99,3086.94,334.1,166.23,-129.81,-2181.81,-18540.51,957.12,11199.49,-3955.17,131.03,-1516.45,-3824.14,-5340.59
69,1078.1,2547.02,3061.8,316.16,143.85,-126.0,-2239.64,-18400.08,938.14,11206.25,-4050.85,132.64,-1474.41,-3918.21,-5392.62
71,1026.47,2511.88,3109.06,306.95,171.62,-109.23,-2189.41,-18530.41,964.42,11291.2,-3988.11,133.96,-1447.46,-3854.15,-5301.61
73,1029.6,2547.86,3115.71,306.05,151.84,-99.85,-2217.96,-18447.02,947.12,11204.76,-4034.55,134.11,-1461.89,-3900.45,-5362.33
75,1070.42,2549.28,3094.85,305.78,152.21,-112.54,-2204.14,-18518.79,941.42,11160.11,-3944.11,131.01,-1561.39,-3813.1,-5374.49
77,1052.27,2509.74,3109.23,302.57,165.78,-96.51,-2223.78,-18591.62,966.79,11177.3,-3881.15,131.72,-1628.23,-3749.43,-5377.66
79,1055.43,2546.87,3108.39,310.38,150.14,-92.53,-2232.78,-18421.96,961.49,11255.75,-4087.91,131.51,-1358.83,-3956.4,-5315.23
81,1052.57,2485.92,3115.07,299.11,159.37,-114.96,-2197.66,-18222.37,956.42,11248.12,-4234.67,135.68,-1218.4,-4098.99,-5317.39
83,1091.73,2479.04,3111.16,306.27,163.61,-126.44,-2198.58,-18270.37,986.1,11271.94,-4239.74,135.28,-1185.54,-4104.46,-5290.01
85,1083.32,2484.17,3082.45,317.48,171.2,-100.91,-2207.82,-18485.81,936.83,11185.69,-3997.11,131.81,-1533.42,-3865.3,-5398.72
87,1056.52,2481.57,3132.94,320.37,173.42,-126.75,-2189.75,-18565.73,979.78,11232.72,-3948.88,130.01,-1504.92,-3818.87,-5323.79
89,1107.87,2545.85,3073.69,309.64,170.95,-116.06,-2229.35,-18625.47,918.49,11158.21,-3859.77,132.66,-1686.18,-3727.11,-5413.29
91,1019.13,2529.99,3108.84,309.37,171.83,-112.52,-2221.55,-18719.54,959.0,11302.28,-3834.13,130.56,-1653.17,-3703.56,-5356.73
93,1072.41,2492.23,3083.86,296.16,149.91,-121.05,-2200.57,-18619.38,942.21,11278.05,-3906.32,132.84,-1626.18,-3773.48,-5399.66
95,1073.95,2520.59,3107.01,310.0,143.46,-112.75,-2244.93,-18516.88,946.02,11246.65,-3960.07,131.33,-1526.89,-3828.74,-5355.63
