GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1050.34,2438.97,3119.22,312.82,156.28,-80.1,-2309.31,-18236.23,952.61,11064.8,-3966.46,120.72,-1530.59,-3845.74,-5376.33
3,1100.2,2568.47,3144.8,298.58,151.98,-108.92,-2223.09,-18289.96,954.87,11059.99,-3934.1,124.59,-1343.1,-3809.51,-5152.6
5,1194.02,2572.2,3125.67,316.85,159.72,-112.89,-2236.46,-18316.73,954.59,11036.21,-3878.62,127.28,-1306.83,-3751.34,-5058.16
7,1058.64,2533.96,3107.29,299.2,172.79,-128.21,-2265.45,-18319.01,974.13,11069.97,-3855.42,124.3,-1496.69,-3731.12,-5227.81
9,1098.38,2473.14,3076.55,304.54,152.51,-121.15,-2209.46,-18332.12,937.55,11033.6,-3827.1,128.39,-1586.46,-3698.71,-5285.17
11,1092.84,2501.7,3079.13,311.55,144.72,-118.63,-2225.62,-18231.08,948.15,11063.2,-3965.84,128.97,-1434.04,-3836.87,-5270.91
13,1074.38,2458.42,3071.1,299.45,153.1,-118.26,-2179.42,-18372.84,952.26,11050.78,-3837.5,130.93,-1611.02,-3706.57,-5317.58
15,1135.25,2546.71,3068.09,306.08,144.24,-105.79,-2229.24,-18366.59,932.05,11013.08,-3787.71,128.81,-1556.12,-3658.9,-5215.03
17,1056.91,2481.89,3054.73,288.84,149.59,-120.38,-2249.26,-18264.05,932.39,10986.62,-3901.38,128.04,-1682.73,-3773.34,-5456.07
19,1093.35,2525.06,3052.81,299.85,160.0,-122.07,-2216.72,-18471.88,928.76,11088.76,-3810.46,129.64,-1662.07,-3680.81,-5342.88
21,1114.55,2530.66,3083.26,303.9,145.77,-129.41,-2220.68,-18433.52,952.58,11002.37,-3747.72,126.86,-1650.52,-3620.86,-5271.37
23,1026.74,2477.55,3063.65,301.5,157.72,-135.75,-2214.02,-18521.12,943.1,11145.47,-3732.97,128.27,-1755.16,-3604.71,-5359.86
25,1115.24,2509.66,3098.23,315.4,135.56,-116.94,-2234.25,-18096.66,946.29,10989.41,-4040.48,130.54,-1338.06,-3909.94,-5248.0
27,1088.07,2519.51,3033.53,304.47,152.23,-112.99,-2218.41,-18358.4,903.14,11088.37,-3858.17,129.94,-1600.48,-3728.23,-5328.71
29,1117.36,2432.33,3046.22,292.79,150.5,-102.19,-2193.61,-18335.92,926.03,11004.51,-3867.71,131.91,-1661.99,-3735.8,-5397.79
31,1088.7,2480.54,3029.3,291.96,156.42,-130.22,-2206.31,-18143.96,930.49,10961.38,-3941.38,132.33,-1541.68,-3809.05,-5350.73
33,1125.05,2546.31,3059.66,314.43,172.33,-119.49,-2188.06,-18254.31,947.46,11062.79,-3937.47,133.48,-1333.83,-3803.99,-5137.82
35,1096.25,2508.59,3039.23,303.14,167.14,-110.34,-2249.8,-18007.19,931.65,10980.54,-4097.06,129.73,-1340.79,-3967.33,-5308.12
37,1102.97,2501.76,3032.74,302.19,149.9,-98.29,-2202.64,-18301.97,949.57,11004.81,-3862.86,129.03,-1558.98,-3733.83,-5292.8
39,1051.3,2465.49,3059.4,290.03,187.39,-127.1,-2201.65,-18337.03,942.6,11085.37,-3897.18,129.79,-1584.19,-3767.38,-5351.57
41,1027.7,2493.07,3061.35,297.35,169.38,-112.97,-2220.03,-18247.43,949.95,11012.47,-3907.12,129.16,-1569.17,-3777.97,-5347.14
43,1078.56,2496.52,3035.07,311.04,164.97,-109.52,-2237.07,-18296.23,952.13,11035.93,-3876.86,125.82,-1568.58,-3751.03,-5319.61
45,1075.65,2417.26,3070.05,288.44,157.6,-130.61,-2220.0,-18316.55,957.43,11047.11,-3891.82,128.6,-1653.62,-3763.23,-5416.84
47,1102.26,2491.98,3056.62,305.47,165.11,-125.39,-2220.16,-18292.96,938.57,11003.48,-3913.8,128.75,-1575.02,-3785.05,-5360.07
49,1108.56,2491.78,3057.76,303.16,146.64,-114.58,-2240.56,-18295.31,944.61,11077.39,-3925.02,127.14,-1520.55,-3797.88,-5318.43
51,1067.06,2453.7,3051.07,303.34,172.49,-117.75,-2243.73,-18301.63,938.48,10972.34,-3889.05,125.66,-1704.63,-3763.4,-5468.03
53,1090.74,2552.09,3065.84,305.17,147.49,-132.46,-2222.4,-18213.57,949.09,11000.23,-3942.0,126.65,-1457.78,-3815.35,-5273.13
55,1025.98,2391.74,3079.98,290.35,152.27,-133.64,-2289.92,-18289.72,968.29,11108.82,-3938.26,125.64,-1695.87,-3812.62,-5508.49
57,1049.62,2473.99,3042.84,292.57,152.73,-110.95,-2253.78,-18316.28,955.62,11103.02,-3918.74,127.09,-1610.64,-3791.65,-5402.29
59,1093.92,2523.2,3047.17,304.58,152.38,-104.34,-2226.53,-18342.35,956.12,11025.48,-3826.21,125.19,-1570.37,-3701.02,-5271.39
61,1087.75,2553.27,3049.6,305.45,173.31,-86.96,-2201.27,-18367.01,965.81,11081.7,-3881.58,128.01,-1438.36,-3753.57,-5191.93
63,1065.28,2444.01,3107.1,303.03,154.98,-105.18,-2220.56,-18479.08,949.08,11102.58,-3767.88,127.15,-1678.76,-3640.73,-5319.48
65,1076.39,2442.84,3044.71,297.72,148.7,-113.11,-2195.28,-18431.06,952.79,11091.15,-3793.76,123.15,-1685.16,-3670.62,-5355.78
67,1110.66,2501.37,3039.76,304.16,163.09,-106.89,-2232.83,-18351.07,935.8,11014.09,-3830.23,127.92,-1621.86,-3702.31,-5324.17
69,1124.2,2569.47,3074.2,316.35,168.58,-108.98,-2211.28,-18205.78,929.09,10989.55,-3926.7,126.26,-1354.61,-3800.44,-5155.05
71,1066.06,2466.67,3039.66,303.35,167.0,-121.11,-2246.47,-18160.61,959.01,10995.01,-3992.23,127.62,-1531.44,-3864.61,-5396.05
73,1125.95,2498.24,3083.3,307.05,155.13,-79.73,-2257.77,-18162.02,936.99,10940.25,-3941.34,125.59,-1452.61,-3815.75,-5268.36
75,1121.8,2504.64,3046.04,310.74,163.8,-96.33,-2234.86,-18355.13,948.92,11106.15,-3877.89,126.69,-1484.23,-3751.2,-5235.43
77,1072.18,2488.96,3052.95,288.66,172.78,-87.83,-2257.01,-18374.67,954.04,11067.67,-3844.99,123.36,-1622.27,-3721.63,-5343.89
79,1086.72,2506.64,3029.85,298.65,150.37,-90.6,-2239.92,-18296.6,954.35,11013.82,-3857.2,126.87,-1586.71,-3730.33,-5317.04
81,1106.52,2485.64,3076.0,315.0,144.54,-110.21,-2283.32,-18234.5,920.98,11001.73,-3886.9,126.14,-1577.62,-3760.76,-5338.38
83,1123.33,2524.15,3053.37,311.05,162.25,-112.19,-2251.64,-18338.05,949.62,11006.2,-3828.12,126.14,-1571.91,-3701.98,-5273.88
85,1087.5,2503.08,3038.55,302.38,162.64,-108.02,-2237.95,-18310.71,938.08,11021.89,-3845.34,127.07,-1602.55,-3718.27,-5320.81
87,1059.5,2530.75,3031.1,298.96,162.62,-103.16,-2192.65,-18370.98,949.92,11052.88,-3848.89,128.07,-1581.05,-3720.82,-5301.87
89,1092.65,2461.68,3069.23,308.08,157.5,-119.17,-2199.22,-18359.13,968.42,11024.85,-3852.52,129.07,-1595.13,-3723.45,-5318.58
91,1125.57,2550.34,3067.74,310.82,165.71,-112.62,-2250.51,-18340.68,958.77,11024.82,-3856.55,123.64,-1500.02,-3732.92,-5232.93
93,1080.8,2478.16,3025.91,298.53,157.23,-89.13,-2223.14,-18417.61,950.14,10963.95,-3764.45,124.4,-1775.16,-3640.06,-5415.22
95,1115.07,2424.99,3051.88,306.41,162.87,-108.96,-2223.11,-18335.03,950.68,11036.42,-3871.62,125.12,-1618.77,-3746.5,-5365.27
97,1105.15,2553.58,3080.87,301.77,151.64,-93.82,-2258.3,-18210.76,962.36,10988.17,-3893.14,123.38,-1419.34,-3769.76,-5189.1
99,1147.07,2460.28,3043.54,306.75,146.67,-103.28,-2243.89,-18298.5,919.06,11009.67,-3916.36,125.48,-1612.63,-3790.88,-5403.51
101,1077.02,2536.03,3081.02,318.72,157.97,-108.56,-2214.85,-18303.5,935.33,11042.37,-3884.8,126.19,-1478.44,-3758.61,-5237.05
103,1063.63,2465.32,3020.2,299.49,135.37,-110.34,-2216.38,-18259.88,956.21,11082.17,-3939.03,127.33,-1564.23,-3811.69,-5375.92
105,1114.66,2518.45,3069.95,308.55,163.13,-113.27,-2223.42,-18169.73,934.63,10945.65,-3953.8,127.51,-1451.38,-3826.29,-5277.67
107,1090.7,2484.95,3047.46,311.62,152.31,-109.85,-2230.86,-18239.2,952.23,11014.26,-3932.24,126.97,-1526.37,-3805.27,-5331.64
109,1028.47,2516.17,3045.4,287.85,154.99,-120.17,-2211.56,-18447.23,941.34,11167.43,-3835.56,126.9,-1637.3,-3708.66,-5345.96
111,1083.76,2525.51,3044.17,296.67,177.06,-121.08,-2192.14,-18210.02,960.15,10964.98,-3918.34,130.66,-1470.94,-3787.68,-5258.62
