GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1151.06,2525.73,3139.33,324.02,164.47,-92.72,-2256.31,-18426.18,922.54,11042.01,-3861.19,121.69,-1506.03,-3739.51,-5245.54
3,1138.02,2563.81,3156.35,323.89,146.73,-100.96,-2208.56,-18367.77,906.85,11029.67,-3900.35,126.85,-1411.97,-3773.49,-5185.46
5,1104.79,2579.02,3135.51,312.96,169.07,-104.49,-2234.56,-18315.2,956.45,11040.11,-3925.42,127.51,-1356.34,-3797.92,-5154.26
7,1100.31,2486.61,3088.58,310.64,173.81,-122.43,-2241.13,-18133.07,928.08,11010.94,-4040.27,129.09,-1397.67,-3911.18,-5308.85
9,1118.68,2565.6,3106.6,329.57,166.4,-118.95,-2216.05,-18079.21,956.07,11071.05,-4119.42,128.48,-1100.24,-3990.95,-5091.18
11,1051.97,2583.19,3090.0,304.85,160.14,-107.24,-2227.79,-18087.28,918.85,11035.3,-4110.09,131.3,-1278.02,-3978.79,-5256.81
13,1103.83,2526.01,3097.49,316.36,157.05,-84.13,-2221.13,-18049.79,908.17,11025.65,-4122.68,131.53,-1220.49,-3991.14,-5211.64
15,1087.59,2621.63,3078.16,315.49,171.8,-130.64,-2239.67,-18205.75,930.48,11078.97,-3986.13,127.82,-1291.94,-3858.31,-5150.25
17,1108.78,2525.88,3092.82,310.73,164.35,-109.34,-2182.28,-18338.56,903.83,10935.6,-3891.7,128.96,-1588.21,-3762.74,-5350.95
19,1129.17,2600.88,3107.62,328.69,152.53,-123.36,-2226.23,-18176.52,931.21,10997.1,-3977.26,130.23,-1278.9,-3847.02,-5125.92
21,1070.25,2515.59,3116.48,309.32,150.39,-112.27,-2195.62,-18190.13,922.29,10948.97,-3961.48,128.95,-1464.74,-3832.53,-5297.26
23,1114.5,2548.37,3077.15,312.65,155.0,-100.73,-2238.24,-18146.27,931.14,10965.38,-4032.33,128.36,-1381.05,-3903.97,-5285.02
25,1082.63,2507.38,3107.57,309.4,165.7,-124.89,-2226.9,-18284.96,913.02,10994.78,-3925.99,127.12,-1556.25,-3798.86,-5355.12
27,1121.89,2505.92,3061.37,314.69,161.87,-114.81,-2248.76,-18150.97,899.39,11035.24,-4005.79,128.63,-1414.17,-3877.16,-5291.32
