GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1048.27,2496.94,3097.83,308.17,142.13,-91.8,-2303.06,-18296.1,927.3,10902.96,-3827.33,118.92,-1767.36,-3708.41,-5475.77
3,1010.26,2484.26,3098.53,293.89,152.5,-121.06,-2190.83,-18080.9,948.14,10934.29,-4072.83,125.22,-1470.94,-3947.61,-5418.55
5,1042.96,2530.51,3073.02,302.95,169.17,-108.48,-2223.9,-17974.02,934.04,10822.81,-4093.55,129.75,-1430.92,-3963.8,-5394.73
7,1112.63,2505.49,3060.04,301.98,150.8,-78.03,-2282.74,-17983.71,929.74,10842.23,-4070.08,125.36,-1441.57,-3944.72,-5386.29
9,1079.24,2550.75,3078.14,306.72,163.34,-106.06,-2236.07,-18244.89,935.76,10916.14,-3932.11,126.17,-1556.93,-3805.94,-5362.87
11,1079.73,2456.4,3048.41,295.85,154.61,-122.69,-2202.78,-18179.84,962.31,10996.53,-3992.43,130.15,-1511.47,-3862.28,-5373.75
13,1042.87,2498.87,3085.45,306.33,176.78,-123.84,-2200.94,-18156.31,956.54,10843.64,-3961.02,127.98,-1570.61,-3833.04,-5403.66
15,1068.79,2455.1,3053.21,293.4,157.73,-138.92,-2184.8,-18165.74,926.33,10852.72,-3972.17,131.27,-1682.17,-3840.9,-5523.07
17,1103.66,2591.37,3082.37,315.94,170.85,-128.7,-2208.22,-18249.85,934.24,10753.98,-3811.76,129.1,-1634.36,-3682.66,-5317.03
19,1098.25,2439.97,3082.69,312.96,159.77,-108.09,-2203.47,-18155.65,937.03,10887.49,-4000.37,133.73,-1549.07,-3866.64,-5415.71
21,1055.33,2462.78,3091.92,310.57,170.32,-120.5,-2161.26,-18265.23,986.41,10851.46,-3890.5,131.95,-1618.19,-3758.55,-5376.74
23,1061.25,2533.99,3069.99,308.84,158.53,-124.02,-2130.47,-18123.5,946.45,10853.71,-4030.87,133.55,-1445.22,-3897.32,-5342.54
25,1047.44,2565.25,3106.45,317.49,154.85,-112.81,-2177.59,-18151.92,962.13,10824.72,-3941.88,131.4,-1463.99,-3810.48,-5274.47
27,1061.55,2498.07,3040.53,308.6,140.69,-132.05,-2128.4,-18196.32,969.78,10794.48,-3925.2,135.16,-1643.05,-3790.04,-5433.1
29,1003.77,2475.92,3074.62,305.49,151.85,-113.28,-2182.13,-18258.01,959.76,10940.44,-3908.89,133.95,-1641.57,-3774.94,-5416.51
31,1042.77,2449.55,3013.73,296.35,158.47,-111.03,-2172.93,-18023.4,946.95,10860.66,-4093.68,135.54,-1538.88,-3958.14,-5497.02
33,1053.52,2461.0,3039.11,289.35,167.19,-112.16,-2183.8,-17907.85,948.46,10902.63,-4224.31,133.18,-1342.55,-4091.13,-5433.68
35,1043.46,2488.71,3024.93,304.19,151.08,-138.75,-2214.04,-18009.29,966.92,10881.26,-4096.56,131.51,-1501.52,-3965.05,-5466.57
37,1062.43,2502.46,3087.65,297.55,150.75,-118.61,-2213.35,-17974.4,956.44,10793.72,-4082.08,129.47,-1455.37,-3952.62,-5407.98
39,1050.41,2548.43,3032.62,314.2,156.08,-130.13,-2199.71,-17907.34,952.97,10841.16,-4187.89,132.37,-1341.32,-4055.52,-5396.84
41,1065.96,2505.71,3058.24,305.04,156.27,-108.79,-2203.75,-18053.0,916.78,10798.74,-4037.45,130.53,-1558.8,-3906.92,-5465.73
43,1059.73,2536.52,3075.13,303.86,149.84,-97.42,-2242.31,-17988.33,949.71,10881.36,-4145.78,128.78,-1371.91,-4017.0,-5388.91
45,1047.39,2512.0,3043.8,306.05,144.87,-111.75,-2215.87,-18150.61,974.87,10845.23,-4006.57,128.67,-1604.01,-3877.9,-5481.91
47,1036.65,2454.3,3054.24,293.13,156.02,-121.05,-2216.21,-17926.31,975.44,10901.27,-4192.84,128.52,-1392.52,-4064.31,-5456.83
49,1042.6,2466.98,3060.75,305.52,150.14,-125.48,-2236.55,-17984.3,963.31,10853.72,-4102.74,129.61,-1503.32,-3973.13,-5476.44
51,1017.86,2473.73,3078.13,304.38,150.55,-130.36,-2207.83,-18048.57,964.53,10904.09,-4083.15,130.0,-1493.48,-3953.15,-5446.64
53,1080.8,2442.27,3046.54,297.31,149.86,-123.26,-2219.79,-17903.21,951.76,10856.17,-4175.21,131.51,-1421.55,-4043.7,-5465.25
55,1021.36,2565.37,3058.44,315.39,146.76,-147.72,-2197.94,-18001.7,947.91,10781.91,-4024.43,131.41,-1510.22,-3893.02,-5403.24
57,1055.0,2498.09,3037.48,307.5,158.52,-99.45,-2223.57,-17853.02,959.28,10729.23,-4151.97,128.32,-1430.94,-4023.65,-5454.59
59,1030.41,2520.09,3064.51,306.49,173.39,-117.79,-2230.33,-17934.27,926.41,10822.12,-4127.11,128.87,-1438.97,-3998.24,-5437.21
61,1045.05,2450.26,3064.48,296.95,166.39,-150.51,-2182.97,-18023.9,966.09,10766.22,-4034.08,133.42,-1601.95,-3900.66,-5502.61
63,1042.53,2505.44,3088.42,302.77,145.2,-125.17,-2224.84,-18155.0,953.75,10786.01,-3917.98,126.0,-1680.89,-3791.98,-5472.87
65,1033.05,2517.37,3079.71,316.31,150.1,-139.84,-2197.12,-18106.69,967.13,10808.08,-3960.33,128.81,-1571.89,-3831.51,-5403.4
67,1040.53,2539.36,3014.42,311.95,168.84,-127.77,-2225.19,-18077.88,935.62,10879.67,-4039.69,129.59,-1540.45,-3910.1,-5450.55
69,1132.79,2564.88,3088.9,298.37,163.8,-120.84,-2233.33,-18228.51,940.71,10746.91,-3865.1,124.63,-1646.3,-3740.47,-5386.77
71,1020.74,2468.23,3036.14,300.98,167.27,-112.67,-2168.23,-18339.65,968.48,10843.63,-3783.83,126.74,-1815.07,-3657.09,-5472.16
73,1075.39,2533.65,3060.01,297.15,163.11,-108.28,-2239.42,-18225.49,928.92,10714.78,-3811.82,128.2,-1800.18,-3683.62,-5483.8
75,1070.06,2522.52,3035.3,317.11,177.2,-120.21,-2235.84,-18048.16,968.3,10819.66,-4000.97,126.19,-1494.05,-3874.78,-5368.84
77,1076.36,2450.23,3053.36,303.21,157.6,-99.16,-2222.11,-18255.72,954.66,10859.35,-3943.71,127.1,-1722.21,-3816.61,-5538.82
79,1036.78,2474.0,3053.96,287.52,160.47,-131.75,-2163.45,-18218.1,956.32,10865.08,-3945.72,132.07,-1679.16,-3813.64,-5492.81
81,1011.13,2488.33,3036.11,296.28,174.99,-116.13,-2195.93,-18223.49,930.53,10890.36,-3931.5,129.76,-1707.82,-3801.74,-5509.56
83,1049.02,2550.58,3053.73,314.02,165.6,-113.18,-2186.24,-18200.58,936.12,10889.37,-3994.13,131.06,-1541.56,-3863.07,-5404.63
85,1090.79,2461.57,3014.75,304.34,164.85,-95.92,-2200.32,-18276.87,955.97,10869.45,-3879.63,129.54,-1711.4,-3750.09,-5461.49
87,1064.16,2496.49,3053.45,299.7,165.37,-121.25,-2222.26,-18130.6,950.94,10840.05,-4002.58,127.59,-1603.94,-3874.99,-5478.93
89,1030.08,2448.42,3021.44,292.09,156.32,-141.57,-2219.82,-18317.87,929.69,10844.46,-3802.42,129.4,-1956.77,-3673.02,-5629.78
91,1054.41,2491.19,3044.11,300.39,158.52,-94.74,-2200.7,-18210.05,926.98,10932.13,-3931.51,128.97,-1597.75,-3802.54,-5400.29
93,1006.84,2465.37,3034.95,295.21,156.59,-98.39,-2219.14,-18238.02,932.09,10991.28,-3927.76,126.76,-1673.22,-3801.0,-5474.22
95,1019.73,2508.64,3031.32,301.08,142.62,-117.27,-2207.65,-18338.64,939.0,10885.85,-3805.94,127.55,-1835.3,-3678.39,-5513.7
97,1084.7,2525.43,3034.34,310.46,160.21,-120.03,-2235.89,-18212.24,953.73,10879.21,-3927.42,128.14,-1620.09,-3799.28,-5419.37
99,1082.45,2466.48,3046.13,301.82,159.91,-115.42,-2203.79,-18298.28,940.64,10948.19,-3908.25,128.93,-1671.87,-3779.32,-5451.19
101,1053.62,2459.85,3037.16,293.61,142.74,-115.15,-2226.13,-18198.04,912.99,10834.03,-3945.64,126.12,-1805.32,-3819.52,-5624.85
103,1097.78,2435.37,3012.68,305.98,159.99,-110.65,-2195.78,-18314.34,939.2,10890.53,-3818.07,130.88,-1779.25,-3687.19,-5466.44
105,1032.93,2529.59,3015.14,301.07,161.24,-112.99,-2211.04,-18303.54,948.79,10910.03,-3827.59,130.11,-1728.78,-3697.48,-5426.25
107,1071.1,2505.59,2994.96,322.74,146.66,-118.23,-2217.95,-18113.49,964.91,10778.47,-3923.49,129.31,-1665.23,-3794.18,-5459.42
109,1063.95,2571.67,3060.08,317.4,169.69,-140.21,-2199.85,-18054.94,940.17,10784.89,-4007.89,129.78,-1487.16,-3878.11,-5365.27
111,1029.1,2493.81,3023.99,311.34,151.64,-135.17,-2148.36,-18196.99,967.28,10902.34,-3933.59,128.5,-1601.02,-3805.08,-5406.1
113,1062.99,2502.55,3006.06,302.07,176.93,-127.08,-2212.43,-18103.21,925.49,10855.53,-3984.37,130.71,-1611.09,-3853.66,-5464.75
115,1047.03,2503.67,3009.76,308.8,148.3,-113.63,-2222.34,-18290.83,940.62,10897.29,-3844.4,126.97,-1771.35,-3717.43,-5488.77
117,1027.11,2570.49,3027.76,302.44,149.96,-114.91,-2168.2,-18170.89,940.38,10822.65,-3883.78,131.02,-1613.21,-3752.76,-5365.97
119,1066.46,2480.44,3054.78,310.37,182.52,-137.18,-2148.29,-18334.67,941.89,10853.17,-3818.73,131.42,-1730.51,-3687.32,-5417.83
121,1057.87,2447.56,3023.93,294.56,184.18,-115.35,-2175.44,-18055.02,923.58,10831.17,-4005.89,131.81,-1582.97,-3874.08,-5457.04
123,1102.45,2510.28,3041.83,318.34,152.1,-133.09,-2237.21,-18028.06,957.67,10835.1,-4034.72,131.72,-1480.6,-3903.0,-5383.6
125,1034.92,2487.02,3057.69,303.53,155.14,-119.86,-2181.02,-18052.53,972.91,10883.43,-4047.63,130.07,-1458.77,-3917.56,-5376.33
127,1028.02,2496.97,3080.95,296.98,175.36,-107.24,-2205.21,-18014.4,946.65,10862.49,-4085.89,132.22,-1439.43,-3953.67,-5393.09
129,1035.35,2455.32,3061.46,308.59,159.49,-104.31,-2180.26,-18163.1,935.52,10862.99,-3966.71,132.19,-1628.94,-3834.52,-5463.46
131,1082.34,2575.77,3019.13,315.6,153.01,-130.99,-2224.87,-18066.79,932.07,10813.9,-4049.38,129.87,-1530.84,-3919.5,-5450.34
133,1059.95,2445.0,3021.0,306.96,159.42,-86.98,-2171.69,-18386.93,969.05,10890.97,-3793.64,129.33,-1793.24,-3664.31,-5457.55
135,1049.42,2492.68,3052.92,301.99,169.29,-136.79,-2175.0,-18138.63,963.87,10840.75,-3973.79,132.54,-1579.5,-3841.26,-5420.75
137,1043.96,2525.26,3050.16,288.27,158.65,-147.3,-2172.77,-18014.81,915.16,10844.01,-4111.57,136.06,-1509.41,-3975.51,-5484.92
139,1044.65,2521.9,3052.12,293.78,161.83,-132.39,-2145.8,-18043.44,945.47,10867.98,-4110.61,137.26,-1433.91,-3973.36,-5407.27
