GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1063.63,2438.54,3091.76,296.69,152.67,-125.95,-2282.79,-18290.69,918.56,11108.48,-4051.65,121.94,-1629.1,-3929.7,-5558.8
3,1047.17,2466.71,3110.27,319.73,159.75,-117.02,-2196.93,-18369.76,921.09,11040.48,-3950.66,126.52,-1618.52,-3824.14,-5442.66
5,1075.09,2489.62,3076.68,305.65,174.82,-88.03,-2271.97,-18017.88,907.5,10949.47,-4181.2,126.64,-1399.06,-4054.57,-5453.63
7,1041.05,2525.96,3101.14,313.33,166.86,-114.77,-2272.4,-18379.6,923.82,11008.42,-3879.92,123.35,-1686.18,-3756.57,-5442.76
9,1062.16,2425.15,3098.02,311.92,158.61,-104.02,-2251.45,-18255.84,906.62,11027.97,-3983.1,126.09,-1620.87,-3857.01,-5477.88
11,1026.89,2429.3,3073.8,296.2,158.9,-104.06,-2238.68,-18269.45,918.15,11010.39,-4009.21,126.27,-1698.56,-3882.94,-5581.5
13,1042.86,2449.87,3083.31,312.56,169.2,-119.94,-2236.72,-18091.91,901.31,10991.98,-4132.65,128.0,-1497.47,-4004.65,-5502.12
15,1056.5,2507.96,3077.21,298.86,170.47,-112.26,-2194.09,-18394.94,906.83,11026.33,-3946.89,126.32,-1657.14,-3820.56,-5477.71
17,1123.56,2514.9,3084.37,313.52,158.72,-115.42,-2227.75,-18306.93,910.45,11003.18,-3995.22,126.81,-1541.4,-3868.41,-5409.82
19,1019.09,2459.73,3065.86,302.48,155.52,-104.88,-2264.46,-18288.33,916.92,11040.71,-3997.43,124.86,-1697.36,-3872.56,-5569.93
21,1043.49,2435.32,3075.97,305.14,172.38,-123.92,-2231.08,-18263.32,929.56,11007.3,-4048.92,127.04,-1649.16,-3921.88,-5571.04
23,1061.49,2512.39,3068.75,296.56,146.52,-127.82,-2233.47,-18254.3,916.97,10980.56,-4012.71,128.93,-1632.35,-3883.77,-5516.12
25,1011.12,2510.72,3087.01,327.29,169.3,-125.15,-2213.6,-18142.15,928.76,10994.8,-4119.3,131.66,-1451.9,-3987.64,-5439.54
27,1051.54,2511.44,3058.96,302.86,157.4,-134.3,-2221.59,-18234.01,917.14,11049.59,-4086.26,131.12,-1540.98,-3955.15,-5496.13
29,1041.34,2481.11,3041.71,320.44,183.23,-118.16,-2208.8,-18149.44,922.94,10944.2,-4110.91,129.16,-1541.43,-3981.75,-5523.18
31,1066.72,2545.3,3037.75,316.94,171.78,-118.44,-2240.25,-18304.52,912.49,11056.1,-4016.75,129.32,-1556.12,-3887.43,-5443.56
