GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1060.08,2479.83,3097.4,318.84,172.29,-106.97,-2295.03,-18259.74,938.25,10949.95,-3840.27,122.48,-1645.11,-3717.79,-5362.9
3,1031.28,2566.18,3114.02,319.77,137.21,-129.6,-2245.01,-18169.72,908.8,10982.49,-3969.91,125.81,-1484.59,-3844.1,-5328.69
5,1041.23,2530.69,3096.72,320.59,176.28,-126.76,-2293.67,-18128.04,901.68,11102.01,-4056.54,124.7,-1379.28,-3931.84,-5311.12
7,1040.42,2522.58,3090.45,308.33,169.04,-106.85,-2283.44,-18129.8,890.51,10963.47,-3983.97,126.82,-1535.28,-3857.15,-5392.43
9,1039.36,2531.08,3084.21,314.7,158.94,-118.61,-2240.53,-17976.24,927.74,10975.43,-4155.39,129.45,-1303.92,-4025.94,-5329.85
11,1052.73,2514.33,3115.4,316.71,162.11,-123.34,-2216.51,-18131.02,917.32,11044.61,-4069.23,129.33,-1347.66,-3939.9,-5287.56
13,1040.81,2500.28,3085.92,313.47,172.07,-133.83,-2184.32,-18060.14,916.9,11004.52,-4049.3,129.53,-1344.33,-3919.77,-5264.1
15,1099.58,2524.14,3085.12,303.35,155.06,-118.05,-2233.69,-17958.03,929.09,10928.7,-4107.91,128.46,-1284.71,-3979.45,-5264.15
17,1038.99,2496.08,3115.71,306.17,161.1,-135.64,-2259.02,-18082.82,902.35,11034.17,-4077.49,128.94,-1422.9,-3948.54,-5371.45
19,1007.64,2550.42,3086.92,315.04,163.66,-140.99,-2247.97,-18038.6,921.04,10971.36,-4039.58,129.81,-1411.48,-3909.77,-5321.25
21,1069.48,2588.52,3048.25,330.32,162.09,-124.41,-2220.24,-18065.53,912.43,10955.16,-4039.37,132.23,-1343.93,-3907.15,-5251.08
23,1022.33,2546.37,3056.48,299.58,156.46,-123.58,-2207.45,-17967.24,927.91,11000.13,-4189.96,134.08,-1289.02,-4055.88,-5344.89
25,1022.55,2476.98,3099.02,311.34,156.64,-122.58,-2240.3,-18186.21,901.11,11024.23,-3941.05,129.11,-1557.23,-3811.94,-5369.17
27,988.92,2480.36,3077.48,296.12,160.6,-113.42,-2262.0,-18207.17,880.16,11093.37,-3957.72,129.8,-1605.59,-3827.92,-5433.51
29,1054.19,2550.72,3034.81,322.78,158.64,-120.6,-2204.06,-18297.1,898.51,10992.84,-3857.97,130.56,-1609.26,-3727.41,-5336.68
31,1083.01,2535.71,3046.14,318.5,162.88,-133.53,-2231.46,-18231.94,921.3,11026.12,-3943.23,129.49,-1503.26,-3813.74,-5317.0
33,1053.55,2475.47,3072.14,318.09,149.39,-133.89,-2253.64,-18026.43,901.4,11061.89,-4111.29,131.1,-1382.03,-3980.19,-5362.22
35,1036.9,2521.27,3075.78,315.44,158.62,-114.94,-2219.96,-18179.47,931.4,11045.81,-4003.09,130.37,-1429.16,-3872.72,-5301.89
37,1029.79,2513.99,3097.85,313.24,163.68,-104.48,-2239.94,-18255.77,916.19,11003.19,-3914.84,128.55,-1562.26,-3786.29,-5348.56
39,996.88,2528.46,3065.91,310.42,154.69,-113.42,-2240.98,-18151.27,901.25,11026.73,-3994.78,129.88,-1521.33,-3864.91,-5386.23
41,1037.36,2441.64,3091.88,309.29,149.21,-124.68,-2241.0,-18306.7,917.65,11055.84,-3833.92,129.62,-1669.51,-3704.3,-5373.81
43,1055.01,2505.84,3084.96,305.73,150.71,-145.14,-2204.29,-18128.01,905.24,10946.21,-3923.36,130.05,-1523.74,-3793.32,-5317.06
45,1054.57,2475.52,3075.43,327.79,178.61,-100.12,-2203.78,-18357.38,919.83,11057.2,-3849.01,128.82,-1572.32,-3720.19,-5292.51
47,996.85,2528.18,3071.69,304.61,170.46,-119.19,-2217.98,-18314.48,912.71,11001.32,-3808.05,130.85,-1665.85,-3677.2,-5343.05
49,1026.05,2470.21,3052.05,303.16,163.33,-119.58,-2278.02,-18229.81,913.97,11132.49,-3936.3,129.49,-1566.14,-3806.81,-5372.96
51,1045.74,2438.06,3116.96,307.35,167.91,-117.87,-2289.15,-18179.42,914.61,11067.42,-3939.74,130.19,-1528.4,-3809.55,-5337.95
53,1036.56,2528.49,3086.68,313.52,173.94,-128.1,-2253.85,-18344.74,932.95,11048.33,-3817.37,129.55,-1606.22,-3687.81,-5294.03
55,1069.36,2519.29,3051.36,319.0,146.32,-124.09,-2196.7,-18446.64,909.6,10989.71,-3685.17,130.0,-1762.8,-3555.16,-5317.96
57,1001.28,2493.39,3061.74,314.42,162.24,-120.49,-2238.1,-18488.31,912.61,11130.39,-3714.99,127.86,-1770.84,-3587.13,-5357.96
59,998.45,2549.63,3050.54,305.44,170.31,-120.6,-2201.4,-18444.19,929.8,11098.35,-3773.11,130.78,-1663.68,-3642.33,-5306.01
61,1053.58,2490.96,3062.84,317.29,160.9,-140.49,-2208.8,-18304.85,945.64,11066.88,-3911.39,132.02,-1556.04,-3779.37,-5335.41
63,1038.78,2476.41,3083.77,318.4,156.57,-129.25,-2188.23,-18332.58,914.01,11120.4,-3909.15,133.02,-1541.72,-3776.13,-5317.84
65,1126.88,2522.74,3060.53,313.85,156.42,-117.6,-2212.16,-18110.48,898.73,10967.44,-3961.71,133.19,-1393.66,-3828.52,-5222.18
67,1055.98,2485.02,3052.63,306.22,158.47,-125.94,-2186.5,-18231.25,935.38,10997.08,-3924.1,134.42,-1552.92,-3789.68,-5342.6
69,1054.99,2547.23,3077.14,327.56,160.13,-130.44,-2243.97,-18155.76,906.11,10970.99,-3932.04,131.27,-1486.02,-3800.78,-5286.79
71,1015.39,2561.44,3050.02,321.86,159.54,-116.8,-2215.25,-18121.8,962.6,10993.45,-3978.37,133.89,-1389.56,-3844.48,-5234.04
73,1034.66,2471.73,3099.91,305.25,182.17,-138.7,-2187.42,-18335.43,918.08,11016.99,-3815.34,129.64,-1632.75,-3685.7,-5318.45
75,1065.52,2512.82,3048.8,323.74,164.54,-114.38,-2220.08,-18190.72,918.28,11040.26,-3952.76,130.65,-1451.24,-3822.11,-5273.35
77,1059.75,2471.89,3061.74,308.81,174.89,-127.76,-2230.66,-18183.02,921.68,11030.46,-3939.46,130.7,-1512.22,-3808.76,-5320.99
79,1081.5,2533.08,3029.93,306.02,165.96,-122.38,-2222.9,-18151.67,891.71,10967.67,-3949.26,130.9,-1521.08,-3818.36,-5339.43
81,1038.12,2490.27,3083.07,299.21,180.66,-130.67,-2253.25,-18134.54,913.34,11030.56,-3993.82,129.2,-1483.24,-3864.62,-5347.86
83,1137.89,2599.91,3049.75,332.96,168.28,-108.56,-2242.63,-18110.89,910.29,10918.51,-3889.31,128.03,-1344.48,-3761.28,-5105.76
85,1090.36,2518.81,3040.11,313.27,148.47,-121.25,-2226.41,-18163.33,904.81,10941.18,-3911.92,128.89,-1553.97,-3783.04,-5337.01
87,1039.27,2536.22,3080.8,319.86,147.83,-110.03,-2210.7,-18272.15,918.41,10943.92,-3845.14,127.41,-1606.56,-3717.73,-5324.29
89,984.52,2536.3,3094.22,323.7,159.93,-118.81,-2214.49,-18404.27,936.1,10984.61,-3734.61,127.17,-1718.2,-3607.44,-5325.64
91,1033.5,2525.89,3074.46,319.41,171.83,-154.96,-2223.29,-18372.86,919.21,11081.06,-3850.4,130.05,-1625.76,-3720.35,-5346.1
93,1079.76,2446.5,3089.88,307.97,164.57,-121.2,-2271.21,-18360.94,893.57,11073.42,-3819.24,128.03,-1697.67,-3691.21,-5388.88
95,1049.19,2474.15,3090.31,305.92,161.79,-131.42,-2209.6,-18399.53,917.75,10996.88,-3775.36,131.47,-1744.57,-3643.88,-5388.45
97,1004.74,2508.84,3066.21,305.92,158.89,-124.12,-2200.86,-18407.29,923.77,11010.19,-3742.42,130.27,-1753.71,-3612.15,-5365.86
99,1035.33,2470.21,3055.5,316.6,160.42,-110.85,-2225.68,-18248.22,940.48,10971.02,-3885.01,131.22,-1635.18,-3753.79,-5388.97
101,1049.91,2534.35,3077.65,333.91,152.29,-145.3,-2214.33,-18197.81,930.79,10975.47,-3950.17,132.42,-1503.06,-3817.74,-5320.81
103,1045.61,2534.27,3085.24,322.82,155.29,-135.81,-2181.64,-18267.63,930.6,10949.76,-3845.91,130.47,-1561.49,-3715.44,-5276.93
105,1016.4,2544.0,3050.44,330.71,168.52,-132.24,-2231.24,-18212.71,918.92,11084.6,-3973.31,128.6,-1462.6,-3844.72,-5307.32
107,1051.3,2498.02,3072.56,318.31,163.73,-131.95,-2236.26,-18197.77,920.93,11052.18,-3948.79,132.09,-1488.95,-3816.7,-5305.66
109,1106.19,2556.33,3085.75,318.8,145.49,-121.42,-2237.23,-18099.12,920.02,10985.43,-4045.85,131.43,-1339.76,-3914.42,-5254.18
111,1073.25,2538.24,3023.29,310.34,164.3,-134.97,-2195.8,-18224.53,900.35,10990.75,-3908.3,131.75,-1554.77,-3776.55,-5331.32
113,1055.0,2581.52,3058.49,317.93,159.05,-119.93,-2209.91,-18266.46,908.46,10970.0,-3881.73,130.53,-1545.86,-3751.21,-5297.06
115,1012.05,2523.54,3080.58,317.7,166.76,-115.51,-2240.98,-18216.51,912.43,11049.89,-3911.7,130.53,-1510.06,-3781.16,-5291.22
117,1066.39,2547.37,3064.3,310.97,166.69,-113.06,-2184.99,-18092.27,932.44,10903.6,-4009.41,133.91,-1398.56,-3875.5,-5274.07
119,1050.43,2499.53,3049.75,327.26,145.91,-141.95,-2181.26,-18230.71,904.8,10973.65,-3862.63,130.08,-1602.57,-3732.55,-5335.12
121,1036.63,2537.26,3053.43,331.17,178.95,-139.51,-2210.15,-18154.58,921.32,10966.02,-3956.66,133.51,-1479.47,-3823.15,-5302.62
123,1043.11,2549.45,3083.52,304.6,151.52,-118.67,-2212.75,-18255.88,901.63,11042.26,-3929.34,132.79,-1511.21,-3796.55,-5307.76
125,1045.28,2483.13,3064.88,301.47,151.73,-133.82,-2225.74,-18245.3,939.52,11035.88,-3890.85,129.0,-1582.98,-3761.85,-5344.83
127,1051.46,2560.06,3031.37,319.84,154.01,-118.48,-2197.86,-18242.21,916.74,10954.17,-3843.64,134.29,-1570.88,-3709.35,-5280.23
129,1035.54,2536.76,3061.75,314.26,173.2,-110.05,-2205.78,-18203.22,921.4,10973.82,-3923.33,131.68,-1502.33,-3791.65,-5293.98
131,1023.48,2581.42,3063.29,323.86,159.71,-139.35,-2218.39,-18102.07,912.88,10975.69,-4014.18,128.85,-1419.49,-3885.33,-5304.82
133,1071.1,2499.84,3070.16,311.13,145.65,-133.6,-2195.35,-18111.23,930.54,10941.14,-3985.48,132.8,-1470.63,-3852.67,-5323.3
135,1052.69,2496.85,3063.3,306.47,149.38,-130.37,-2185.42,-18308.71,907.66,10982.85,-3826.44,132.26,-1665.3,-3694.19,-5359.49
137,1078.34,2547.68,3067.9,315.19,145.92,-145.6,-2245.8,-18312.04,937.53,10998.73,-3832.99,128.73,-1612.16,-3704.26,-5316.41
139,1071.37,2519.02,3072.4,307.09,161.92,-124.27,-2252.74,-18223.75,903.4,10929.32,-3868.09,131.58,-1636.23,-3736.51,-5372.74
141,1046.07,2493.11,3054.21,309.58,162.95,-132.43,-2196.83,-18168.99,922.72,10881.52,-3857.75,134.08,-1628.09,-3723.67,-5351.76
143,997.23,2537.68,3013.48,316.26,166.49,-133.28,-2220.85,-18160.61,926.7,10954.44,-3922.59,133.4,-1602.47,-3789.19,-5391.67
145,1058.46,2481.88,3078.63,302.11,168.43,-133.66,-2186.7,-18323.84,922.0,10923.5,-3780.45,132.39,-1709.19,-3648.05,-5357.25
147,1066.59,2495.32,3062.14,306.37,175.57,-135.53,-2194.34,-18215.93,909.56,10963.97,-3896.68,131.39,-1566.29,-3765.28,-5331.58
149,1106.74,2512.25,3039.48,332.9,173.63,-133.19,-2194.58,-18150.55,893.39,10942.12,-3965.51,134.83,-1477.81,-3830.68,-5308.49
151,1040.15,2596.54,3005.77,325.96,160.75,-127.03,-2202.86,-18095.8,889.84,10931.69,-4011.67,135.07,-1474.98,-3876.6,-5351.58
153,1096.24,2506.99,3070.79,327.81,175.36,-136.55,-2209.13,-18188.94,918.67,10973.28,-3947.45,133.1,-1465.47,-3814.35,-5279.82
155,1045.38,2450.32,3040.16,310.11,149.64,-125.28,-2204.86,-18319.72,908.73,11086.82,-3865.5,132.68,-1658.69,-3732.82,-5391.51
157,1024.69,2504.96,3061.35,309.93,183.33,-136.5,-2225.77,-18122.16,901.23,10929.75,-3909.33,132.19,-1569.18,-3777.15,-5346.33
159,1088.8,2475.91,3055.03,313.61,174.78,-130.27,-2168.95,-18123.7,913.83,11020.02,-3996.41,135.77,-1380.93,-3860.64,-5241.56
161,986.4,2469.85,3065.98,306.71,181.79,-153.62,-2180.66,-18138.78,925.84,11010.61,-3983.21,132.79,-1525.88,-3850.41,-5376.29
163,1060.26,2501.9,3084.21,320.78,155.28,-137.5,-2194.39,-18191.15,914.88,10943.52,-3857.86,132.04,-1542.21,-3725.82,-5268.03
165,1001.66,2526.55,3056.85,308.1,159.39,-125.52,-2211.73,-18194.84,921.67,10951.77,-3914.69,132.65,-1606.1,-3782.04,-5388.14
167,1066.56,2478.38,3048.86,314.37,152.35,-106.44,-2195.67,-18331.96,917.96,10961.19,-3812.18,133.77,-1694.41,-3678.41,-5372.82
