GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1037.66,2538.21,3124.54,321.83,166.25,-117.03,-2276.3,-18402.65,934.69,11030.69,-3779.68,120.13,-1642.11,-3659.55,-5301.66
3,1005.83,2520.89,3093.84,314.93,163.3,-92.63,-2286.47,-18054.23,914.55,10989.37,-4037.93,125.68,-1430.62,-3912.25,-5342.87
5,1047.56,2543.05,3110.61,324.36,154.93,-105.18,-2244.28,-18220.86,906.68,10961.34,-3878.67,125.63,-1521.78,-3753.04,-5274.82
7,1000.91,2504.92,3062.02,306.39,158.79,-110.47,-2235.26,-18039.83,916.87,10975.64,-4070.46,126.93,-1460.01,-3943.54,-5403.55
9,1037.88,2604.06,3123.92,317.93,130.56,-114.05,-2215.14,-17954.92,934.54,10979.31,-4176.82,129.8,-1155.92,-4047.01,-5202.93
11,1031.79,2519.8,3133.78,308.2,157.02,-104.83,-2235.37,-17972.38,921.99,10971.77,-4114.66,126.96,-1268.23,-3987.7,-5255.92
13,1076.11,2505.57,3081.44,314.87,158.91,-139.08,-2264.35,-17830.01,897.19,10959.76,-4208.36,131.23,-1239.6,-4077.13,-5316.73
15,1052.5,2519.18,3051.84,319.23,150.15,-124.45,-2214.38,-18036.32,918.81,10981.86,-4060.08,127.8,-1381.59,-3932.28,-5313.87
17,1026.81,2438.89,3089.15,303.25,161.85,-124.26,-2261.24,-17961.04,938.67,11053.36,-4154.11,128.54,-1334.56,-4025.56,-5360.13
19,1038.68,2546.12,3095.93,302.81,161.64,-121.76,-2243.19,-18033.75,913.71,10957.93,-4068.48,128.69,-1381.88,-3939.79,-5321.67
21,1026.39,2584.96,3070.44,316.22,160.27,-122.92,-2249.9,-18045.75,906.29,10925.65,-3999.67,127.59,-1428.34,-3872.08,-5300.42
23,1038.49,2490.61,3063.44,314.3,145.49,-114.23,-2241.55,-18073.99,917.63,10984.62,-4009.11,127.84,-1475.2,-3881.27,-5356.46
25,1001.69,2456.16,3111.66,316.81,150.45,-123.77,-2239.43,-18270.79,958.22,10986.0,-3876.24,129.69,-1653.01,-3746.56,-5399.57
27,1036.39,2543.07,3117.28,319.56,149.89,-119.04,-2240.73,-18027.62,937.75,10907.35,-4015.46,127.92,-1376.11,-3887.54,-5263.64
29,1012.87,2577.66,3072.36,324.18,150.17,-146.38,-2262.57,-18053.61,920.69,10983.88,-4051.53,128.81,-1420.75,-3922.73,-5343.47
31,1068.6,2494.93,3031.83,319.8,171.39,-130.36,-2232.16,-17948.52,899.59,10960.82,-4096.57,130.49,-1364.08,-3966.09,-5330.17
33,994.56,2552.44,3121.72,313.04,143.46,-124.42,-2271.24,-18163.28,906.32,10987.27,-3951.23,129.04,-1540.11,-3822.19,-5362.3
35,1017.25,2500.62,3100.71,315.06,158.46,-149.24,-2267.85,-18154.29,911.56,11015.82,-3985.9,129.32,-1551.9,-3856.58,-5408.48
37,1013.52,2498.98,3088.67,322.53,157.71,-113.76,-2270.36,-18143.41,912.58,11057.98,-3968.96,127.01,-1475.54,-3841.96,-5317.5
39,1072.45,2533.65,3058.52,317.63,164.02,-120.73,-2246.21,-18010.14,895.29,10908.47,-4039.59,130.96,-1427.05,-3908.63,-5335.68
41,1008.28,2547.09,3058.73,319.64,155.72,-135.19,-2211.25,-18156.65,919.66,10987.67,-3976.95,129.43,-1506.29,-3847.52,-5353.81
43,1032.33,2561.79,3056.05,314.88,161.42,-127.42,-2209.1,-18255.23,921.75,11046.61,-3967.85,131.37,-1496.93,-3836.48,-5333.41
45,1018.1,2601.25,3095.39,335.36,159.56,-131.9,-2210.82,-18256.27,909.13,11024.45,-3904.8,129.47,-1455.75,-3775.33,-5231.09
47,1067.48,2576.46,3066.08,314.9,161.38,-114.78,-2245.82,-18107.63,906.94,10939.83,-3990.34,129.97,-1435.17,-3860.38,-5295.54
49,1068.02,2532.88,3069.21,306.02,156.73,-119.83,-2240.87,-18117.73,905.0,10946.58,-3950.53,129.12,-1494.0,-3821.41,-5315.41
51,1030.05,2501.56,3106.83,310.04,157.56,-111.69,-2251.72,-18130.46,910.14,11012.19,-3943.57,128.57,-1465.51,-3815.0,-5280.52
53,1130.55,2493.76,3073.25,320.34,152.29,-98.97,-2246.1,-18188.08,921.05,10949.04,-3896.95,129.1,-1492.88,-3767.84,-5260.72
55,1020.78,2553.31,3061.88,314.8,171.03,-116.34,-2218.58,-18154.8,909.26,10983.8,-3923.61,128.24,-1474.86,-3795.38,-5270.23
57,1037.82,2520.87,3069.34,327.27,161.56,-121.73,-2246.73,-18084.03,926.38,10998.15,-4003.41,127.16,-1411.09,-3876.25,-5287.34
59,1058.87,2500.79,3077.65,302.08,167.92,-109.66,-2267.62,-17947.1,924.24,10949.04,-4091.92,128.49,-1343.79,-3963.43,-5307.21
61,1061.71,2465.91,3076.01,312.22,165.4,-102.93,-2282.93,-17955.84,912.75,10968.41,-4093.34,130.3,-1379.3,-3963.05,-5342.35
63,1043.28,2539.83,3078.2,311.46,167.49,-111.69,-2219.02,-18020.81,892.48,10959.78,-4022.92,134.99,-1358.99,-3887.93,-5246.92
65,1024.02,2519.7,3041.49,319.0,155.28,-112.58,-2258.44,-18074.28,942.38,10975.61,-3991.27,131.43,-1467.82,-3859.84,-5327.66
67,977.85,2546.19,3090.93,326.68,159.26,-127.51,-2235.9,-18057.74,910.83,11033.69,-4032.59,128.77,-1375.72,-3903.82,-5279.54
69,1076.75,2542.19,3046.9,315.48,149.43,-103.04,-2183.2,-17973.93,948.45,10935.8,-4107.95,132.46,-1245.17,-3975.49,-5220.66
71,1064.92,2565.04,3050.96,336.39,155.79,-123.83,-2224.14,-18013.6,920.3,10951.06,-4067.66,135.79,-1317.1,-3931.88,-5248.98
73,1038.14,2487.94,3060.96,311.62,144.57,-108.1,-2185.25,-18321.94,924.08,11027.19,-3884.33,131.17,-1620.8,-3753.16,-5373.96
75,1055.1,2486.0,3057.53,318.92,154.65,-135.38,-2204.84,-18304.65,912.83,10954.97,-3821.93,128.48,-1704.87,-3693.46,-5398.33
77,1017.12,2557.45,3051.66,307.5,165.13,-116.23,-2205.33,-18380.82,933.01,11044.65,-3810.35,129.95,-1625.87,-3680.4,-5306.27
79,1021.95,2553.85,3054.58,322.63,150.79,-123.85,-2233.46,-18458.35,913.51,11021.17,-3687.07,127.97,-1777.2,-3559.1,-5336.3
81,1081.35,2502.58,3056.92,318.44,167.0,-92.26,-2233.84,-18365.55,909.22,11034.73,-3827.03,127.9,-1621.42,-3699.12,-5320.54
83,1040.85,2548.54,3043.89,317.34,167.36,-121.2,-2179.0,-18247.93,886.6,10946.46,-3860.42,130.8,-1597.09,-3729.62,-5326.71
85,1072.19,2516.69,3081.1,316.32,154.01,-106.58,-2265.94,-18125.73,915.58,10931.79,-3929.33,130.02,-1510.56,-3799.31,-5309.88
87,1034.56,2516.7,3055.25,322.41,168.81,-114.55,-2217.95,-18189.26,924.89,10970.82,-3909.97,132.96,-1528.31,-3777.0,-5305.31
89,1044.83,2533.93,3071.06,323.09,174.18,-126.38,-2255.29,-18207.88,894.27,11017.51,-3919.27,128.46,-1530.69,-3790.81,-5321.5
91,1023.79,2609.54,3053.6,324.85,152.07,-100.92,-2197.4,-18185.53,904.35,10902.48,-3896.69,133.1,-1513.17,-3763.6,-5276.77
93,1052.57,2518.18,3048.02,318.95,157.49,-119.9,-2212.89,-18298.24,937.06,11004.46,-3892.08,130.2,-1594.28,-3761.88,-5356.16
95,976.54,2485.2,3079.07,317.51,153.39,-94.13,-2224.92,-18186.68,893.56,11070.49,-3968.16,130.72,-1529.96,-3837.44,-5367.4
97,1050.55,2510.34,3062.17,317.85,161.0,-108.59,-2210.15,-18090.5,921.36,10860.11,-3956.56,131.96,-1525.84,-3824.6,-5350.44
99,1052.67,2524.43,3083.29,320.1,140.62,-115.54,-2211.35,-18199.8,936.73,10877.79,-3862.22,128.99,-1591.07,-3733.23,-5324.3
101,1025.0,2559.43,3039.71,316.34,161.92,-113.38,-2179.76,-18181.08,929.48,10905.79,-3902.57,132.41,-1536.55,-3770.16,-5306.71
103,1052.63,2537.72,3058.58,298.89,155.58,-112.66,-2236.33,-18120.66,909.03,10864.96,-3898.91,129.05,-1592.25,-3769.86,-5362.11
105,1020.88,2521.85,3033.45,309.13,151.4,-106.86,-2218.41,-18163.64,919.74,10942.53,-3895.37,133.05,-1589.92,-3762.32,-5352.24
107,1026.24,2505.96,3051.51,311.47,143.77,-133.86,-2178.07,-17964.22,924.57,10908.44,-4108.38,134.74,-1404.18,-3973.64,-5377.83
109,1055.51,2481.08,3103.5,311.22,161.82,-112.5,-2189.07,-17997.23,928.58,10958.34,-4108.02,137.18,-1298.76,-3970.84,-5269.59
111,1048.55,2487.81,3054.52,301.56,174.09,-117.37,-2180.8,-17978.41,884.24,10914.5,-4100.16,136.16,-1411.31,-3964.01,-5375.32
113,999.56,2555.97,3045.81,299.56,145.88,-119.14,-2238.56,-17972.35,924.43,10944.28,-4092.07,133.44,-1414.58,-3958.63,-5373.22
115,1090.08,2488.88,3036.27,332.44,160.83,-120.21,-2213.55,-18071.31,921.42,10926.99,-4002.44,132.4,-1448.18,-3870.04,-5318.22
117,1105.5,2542.74,3063.75,325.29,169.35,-133.57,-2188.53,-17934.43,935.66,10803.13,-4058.35,136.82,-1311.1,-3921.53,-5232.63
119,1060.05,2524.58,3104.33,323.71,169.8,-113.68,-2206.57,-17909.28,949.94,10837.52,-4071.81,136.47,-1259.6,-3935.34,-5194.94
121,1029.37,2534.62,3102.89,310.14,156.74,-108.69,-2244.11,-17925.68,910.64,10948.35,-4114.29,132.16,-1285.73,-3982.13,-5267.86
123,1027.6,2505.62,3082.2,304.31,167.8,-97.78,-2191.01,-18092.15,910.96,10919.4,-3983.85,134.45,-1463.04,-3849.4,-5312.44
125,1044.3,2513.8,3076.65,312.73,166.31,-99.6,-2189.64,-18071.7,924.85,10921.05,-4041.69,134.88,-1401.25,-3906.81,-5308.07
127,1019.94,2501.51,3099.18,289.26,162.02,-116.31,-2189.4,-18059.69,930.21,10953.07,-4045.6,136.3,-1410.23,-3909.3,-5319.53
129,1068.25,2517.81,3050.63,313.63,164.41,-115.65,-2218.59,-18062.89,937.03,10895.66,-4010.68,132.95,-1449.72,-3877.74,-5327.45
131,1032.12,2568.89,3084.12,312.24,160.55,-122.17,-2192.71,-18110.36,909.69,10990.5,-4002.52,137.05,-1367.13,-3865.47,-5232.6
133,1055.2,2504.68,3071.38,299.36,171.86,-124.39,-2223.88,-18131.12,921.49,10975.11,-3973.07,130.8,-1480.31,-3842.28,-5322.59
135,1019.47,2561.69,3038.53,320.27,157.24,-130.14,-2200.42,-18144.82,910.24,11027.98,-3973.22,133.18,-1439.97,-3840.04,-5280.01
137,1023.44,2561.34,3065.19,327.74,158.18,-116.61,-2268.14,-18138.42,927.64,10906.35,-3898.06,128.95,-1553.3,-3769.11,-5322.41
139,1107.0,2499.29,3054.34,314.58,155.02,-125.47,-2199.96,-18210.61,899.63,10935.7,-3908.54,134.3,-1570.5,-3774.24,-5344.74
141,1074.97,2583.75,3012.02,313.98,155.63,-122.95,-2205.16,-18107.02,928.33,10912.63,-3945.95,133.59,-1453.83,-3812.36,-5266.18
143,997.58,2542.52,3080.2,305.27,163.93,-111.81,-2258.48,-18189.92,927.02,11012.4,-3936.38,128.97,-1531.3,-3807.41,-5338.71
145,1007.61,2536.53,3062.19,306.11,161.07,-125.89,-2238.88,-18134.79,919.76,10985.08,-3977.61,131.07,-1521.21,-3846.54,-5367.75
147,1087.91,2441.46,3062.29,317.48,156.08,-100.96,-2209.76,-18233.28,938.81,10998.64,-3918.49,130.39,-1541.34,-3788.1,-5329.44
149,1022.23,2527.84,3025.42,311.4,160.36,-103.22,-2194.28,-18278.26,894.15,10991.58,-3896.68,136.5,-1642.8,-3760.18,-5402.98
151,1073.06,2516.38,3076.57,306.76,157.71,-142.55,-2193.28,-18237.89,888.88,10977.02,-3880.91,133.41,-1577.33,-3747.5,-5324.83
153,1085.13,2509.0,3063.65,306.83,183.59,-131.75,-2231.0,-18010.55,926.35,10962.69,-4051.35,131.66,-1336.07,-3919.69,-5255.76
155,981.33,2526.54,3007.98,307.78,151.52,-139.33,-2229.83,-18204.57,924.9,11060.8,-3967.93,133.29,-1612.89,-3834.64,-5447.53
157,1105.27,2465.01,3075.29,311.87,165.32,-131.95,-2216.39,-18182.82,889.78,10931.42,-3917.3,131.3,-1587.22,-3786.0,-5373.23
159,1074.91,2536.94,3012.57,316.86,162.13,-124.59,-2237.94,-18204.29,923.86,10955.11,-3920.45,129.25,-1584.44,-3791.2,-5375.64
161,1062.08,2565.8,3050.05,314.22,154.98,-134.79,-2216.86,-18123.78,907.17,10936.63,-3961.23,133.62,-1484.49,-3827.61,-5312.1
163,1036.76,2530.0,3028.81,302.61,149.39,-128.88,-2249.01,-18150.19,934.06,11039.76,-3994.71,129.8,-1506.68,-3864.92,-5371.6
165,1009.77,2545.69,3064.53,315.48,163.96,-136.88,-2220.15,-17966.05,930.09,10936.32,-4113.11,133.0,-1357.25,-3980.12,-5337.37
167,1065.15,2561.69,3073.46,315.53,169.51,-130.29,-2244.56,-18161.53,921.15,11000.29,-3963.88,131.46,-1429.6,-3832.42,-5262.03
169,1069.76,2568.87,3068.12,330.09,170.02,-130.68,-2201.82,-18211.47,902.24,11000.13,-3930.32,133.1,-1434.74,-3797.21,-5231.96
